,region,state,grid_mode,agent,type,plant_name,plant_id,ons_name,ons_id,operation,primary,auction_start_time,start_time,end_time,capacity
2345,NE,BA,type C,LARANJEIRAS I,on_wind,LARANJEIRAS I,EOL.CV.BA.032349-7,UG   15 MW GOI_LARANJEIRA1           2 BA,BAELA10UG2,2,Wind,2017-12-01,2018-04-13,,15.0
2346,NE,BA,type C,LARANJEIRAS II,on_wind,LARANJEIRAS II,EOL.CV.BA.032350-0,UG   15 MW GOI_LARANJEIRA2           1 BA,BAELA20UG1,1,Wind,2018-02-17,2018-04-13,,15.0
2347,NE,BA,type C,LARANJEIRAS II,on_wind,LARANJEIRAS II,EOL.CV.BA.032350-0,UG   15 MW GOI_LARANJEIRA2           2 BA,BAELA20UG2,2,Wind,2018-02-28,2018-04-13,,15.0
2348,NE,BA,type C,LARANJEIRAS III,on_wind,LARANJEIRAS III,EOL.CV.BA.033626-2,UG   15 MW LRA_LARANJE III           2 BA,BAELA30UG2,2,Wind,2019-03-28,2019-04-24,,15.0
2349,NE,BA,type C,LARANJEIRAS III,on_wind,LARANJEIRAS III,EOL.CV.BA.033626-2,UG   10 MW LRA_LARANJE III           1 BA,BAELA30UGR1,1,Wind,2019-03-28,2019-04-24,,10.0
2350,NE,BA,type C,LARANJEIRAS III,on_wind,LARANJEIRAS IX,EOL.CV.BA.033627-0,UG   15 MW LRA_LARANJEI IX           2 BA,BAELA90UG2,2,Wind,2019-03-29,2019-04-24,,15.0
2351,NE,BA,type C,LARANJEIRAS III,on_wind,LARANJEIRAS IX,EOL.CV.BA.033627-0,UG   10 MW LRA_LARANJEI IX           1 BA,BAELA90UGR1,1,Wind,2019-03-29,2019-04-24,,10.0
2352,NE,BA,type C,LARANJEIRAS V,on_wind,LARANJEIRAS V,EOL.CV.BA.032351-9,UG 12P5 MW GOI_LARANJEIRA5           1 BA,BAELA50UG1,1,Wind,2017-11-09,2018-04-13,,12.5
2353,NE,BA,type C,LARANJEIRAS V,on_wind,LARANJEIRAS V,EOL.CV.BA.032351-9,UG 12P5 MW GOI_LARANJEIRA5           2 BA,BAELA50UG2,2,Wind,2017-11-09,2018-04-13,,12.5
2354,NE,BA,type C,LICÍNIO DE ALMEIDA,on_wind,LICÍNIO DE ALMEIDA,EOL.CV.BA.030317-8,UG  6P4 MW IGD_LICIN ALMEI          26 BA,BAUELA0UG26,26,Wind,2014-06-10,2014-07-04,,6.4
2355,NE,BA,type C,LICÍNIO DE ALMEIDA,on_wind,LICÍNIO DE ALMEIDA,EOL.CV.BA.030317-8,UG  9P6 MW IGD_LICIN ALMEI          27 BA,BAUELA0UG27,27,Wind,2014-06-10,2014-07-04,,9.6
2356,NE,BA,type C,LICÍNIO DE ALMEIDA,on_wind,LICÍNIO DE ALMEIDA,EOL.CV.BA.030317-8,UG    8 MW IGD_LICIN ALMEI          28 BA,BAUELA0UG28,28,Wind,2014-06-10,2014-07-04,,8.0
2357,NE,BA,type C,MACAUBAS,on_wind,MACAÚBAS,EOL.CV.BA.030283-0,UG 18P3 MW BMC_MACAUBAS              1 BA,BAUEMC0UG1,1,Wind,2012-06-16,2012-07-06,,18.37
2358,NE,BA,type C,MACAUBAS,on_wind,MACAÚBAS,EOL.CV.BA.030283-0,UG 16P7 MW BMC_MACAUBAS              2 BA,BAUEMC0UG2,2,Wind,2012-06-16,2012-07-06,,16.7
2359,NE,BA,type C,EOL MANIÇOBA,on_wind,MANIÇOBA,EOL.CV.BA.031337-8,UG   14 MW SAZ_MANIÇOBA             R1 BA,BAUEMN0UGR1,R1,Wind,2017-09-19,2017-12-06,,14.0
2360,NE,BA,type C,EOL MANIÇOBA,on_wind,MANIÇOBA,EOL.CV.BA.031337-8,UG   16 MW SAZ_MANIÇOBA             R2 BA,BAUEMN0UGR2,R2,Wind,2017-09-19,2017-12-06,,16.0
2361,NE,BA,type C,MANINEIRO,on_wind,MANINEIRO,EOL.CV.BA.032245-8,UG  8P4 MW QUN_MANINEIRO           R21 BA,BAEMNN0R21,R21,Wind,2022-06-16,2022-08-25,,8.4
2362,NE,BA,type C,MANINEIRO,on_wind,MANINEIRO,EOL.CV.BA.032245-8,UG  5P4 MW QUN_MANINEIRO           R20 BA,BAEMNN0UGR2,R20,Wind,2022-06-16,2022-08-25,,5.4
