id_subsistema;nom_subsistema;ena_data;ena_bruta_regiao_mwmed;ena_bruta_regiao_percentualmlt;ena_armazenavel_regiao_mwmed;ena_armazenavel_regiao_percentualmlt
S;SUL;2023-02-08;6448.45214844;77.38980103;6102.08105469;73.23290253
SE;SUDESTE;2023-02-08;70162.11718750;99.23580170;54963.37890625;77.73899841
N;NORTE;2023-02-09;22322.10156250;98.93119812;17541.60351563;77.74410248
NE;NORDESTE;2023-02-09;14772.17578125;104.28420258;12645.41796875;89.27030182
S;SUL;2023-02-09;6142.63916016;73.71970367;6068.63476563;72.83149719
SE;SUDESTE;2023-02-09;70613.46093750;99.87419891;55897.75000000;79.06060028
N;NORTE;2023-02-10;22422.58984375;99.37650299;17533.04296875;77.70610046
NE;NORDESTE;2023-02-10;14537.51562500;102.62760162;11921.37792969;84.15899658
S;SUL;2023-02-10;6036.15722656;72.44170380;5953.92285156;71.45480347
SE;SUDESTE;2023-02-10;70659.14843750;99.93879700;53583.29687500;75.78710175
N;NORTE;2023-02-11;22481.24218750;99.63649750;17482.47656250;77.48200226
NE;NORDESTE;2023-02-11;14344.33203125;101.26380157;12265.59082031;86.58889771
S;SUL;2023-02-11;6001.99609375;72.03179932;5823.76904297;69.89279938
SE;SUDESTE;2023-02-11;70638.47656250;99.90950012;50869.51562500;71.94879913
N;NORTE;2023-02-12;22319.54296875;98.91979980;17362.16015625;76.94879913
NE;NORDESTE;2023-02-12;14198.94042969;100.23739624;12428.09765625;87.73619843
S;SUL;2023-02-12;5771.94384766;69.27079773;5578.06689453;66.94409943
SE;SUDESTE;2023-02-12;71210.81250000;100.71900177;46886.86328125;66.31580353
N;NORTE;2023-02-13;22198.62109375;98.38390350;17498.88476563;77.55480194
NE;NORDESTE;2023-02-13;14091.54394531;99.47930145;13541.00292969;95.59269714
S;SUL;2023-02-13;5482.00097656;65.79109955;5283.52294922;63.40919876
SE;SUDESTE;2023-02-13;71766.92187500;101.50559998;47051.95703125;66.54930115
N;NORTE;2023-02-14;21960.68359375;97.32939911;17312.24023438;76.72760010
NE;NORDESTE;2023-02-14;14132.53515625;99.76860046;13769.06054688;97.20269775
S;SUL;2023-02-14;5308.04882813;63.70349884;5183.10595703;62.20399857
SE;SUDESTE;2023-02-14;72336.71875000;102.31150055;47985.40234375;67.86949921
N;NORTE;2023-02-15;21753.35742188;96.41049957;17121.28906250;75.88130188
NE;NORDESTE;2023-02-15;14089.11230469;99.46209717;13770.26953125;97.21119690
S;SUL;2023-02-15;5391.95214844;64.71040344;5274.03222656;63.29529953
SE;SUDESTE;2023-02-15;72334.94531250;102.30899811;46404.86328125;65.63400269
N;NORTE;2023-02-16;21686.97851563;96.11630249;17051.25390625;75.57089996
NE;NORDESTE;2023-02-16;13933.20800781;98.36150360;13664.60351563;96.46530151
S;SUL;2023-02-16;5892.83398438;70.72170258;5755.24511719;69.07039642
SE;SUDESTE;2023-02-16;72445.12500000;102.46479797;46421.75781250;65.65789795
N;NORTE;2023-02-17;21740.79101563;96.35479736;17105.57617188;75.81159973
NE;NORDESTE;2023-02-17;13827.47363281;97.61509705;13507.39257813;95.35549927
S;SUL;2023-02-17;5878.01611328;70.54380035;5576.72119141;66.92790222
SE;SUDESTE;2023-02-17;73075.33593750;103.35620117;46881.37500000;66.30799866
N;NORTE;2023-02-18;21795.99023438;96.59950256;16906.59179688;74.92970276
NE;NORDESTE;2023-02-18;13720.37011719;96.85900116;13276.27734375;93.72389984
S;SUL;2023-02-18;5906.61914063;70.88710022;5223.19189453;62.68510056
SE;SUDESTE;2023-02-18;74518.72656250;105.39769745;46214.60156250;65.36489868
N;NORTE;2023-02-19;21937.14843750;97.22509766;16823.54296875;74.56169891
NE;NORDESTE;2023-02-19;13631.27832031;96.23000336;13134.12988281;92.72039795
S;SUL;2023-02-19;5840.64599609;70.09539795;5234.85498047;62.82509995
SE;SUDESTE;2023-02-19;76619.72656250;108.36930084;44750.17578125;63.29370117
N;NORTE;2023-02-20;22338.07226563;99.00199890;16821.88281250;74.55429840
NE;NORDESTE;2023-02-20;13393.59765625;94.55210114;13022.97265625;91.93569946
S;SUL;2023-02-20;6140.26708984;73.69120026;5537.08496094;66.45220184
SE;SUDESTE;2023-02-20;76843.70312500;108.68609619;46709.18750000;66.06449890
N;NORTE;2023-02-21;22671.44921875;100.47949982;17030.00781250;75.47669983
NE;NORDESTE;2023-02-21;13032.07714844;92.00000000;12530.39648438;88.45829773
S;SUL;2023-02-21;7661.52490234;91.94830322;4192.62890625;50.31700134
SE;SUDESTE;2023-02-21;76649.87500000;108.41190338;42549.73046875;60.18140030
N;NORTE;2023-02-22;23016.52734375;102.00890350;17837.16796875;79.05400085
NE;NORDESTE;2023-02-22;12621.88378906;89.10420227;12248.67187500;86.46949768
S;SUL;2023-02-22;9073.08398438;108.88880157;5920.29003906;71.05120087
SE;SUDESTE;2023-02-22;76795.53125000;108.61799622;44800.75000000;63.36520004
N;NORTE;2023-02-23;23298.87304688;103.26020050;17840.33789063;79.06809998
NE;NORDESTE;2023-02-23;12137.28613281;85.68319702;11756.64746094;82.99610138
S;SUL;2023-02-23;9941.99609375;119.31690216;8505.42968750;102.07620239
SE;SUDESTE;2023-02-23;77026.07812500;108.94400024;47471.32812500;67.14240265
N;NORTE;2023-02-24;23403.75000000;103.72499847;17439.71875000;77.29250336
NE;NORDESTE;2023-02-24;11622.14257813;82.04650116;11310.18457031;79.84429932
S;SUL;2023-02-24;11432.10058594;137.20010376;9397.54394531;112.78279877
SE;SUDESTE;2023-02-24;78700.67187500;111.31250000;48928.49218750;69.20339966
N;NORTE;2023-02-25;23488.31640625;104.09980011;17266.02734375;76.52269745
NE;NORDESTE;2023-02-25;11270.76660156;79.56600189;11045.97656250;77.97910309
S;SUL;2023-02-25;11134.54589844;133.62899780;5629.72802734;67.56410217
SE;SUDESTE;2023-02-25;80259.35937500;113.51709747;47536.13671875;67.23410034
N;NORTE;2023-02-26;23554.45117188;104.39289856;17219.27929688;76.31559753
NE;NORDESTE;2023-02-26;10442.05175781;73.71569824;10202.24707031;72.02279663
S;SUL;2023-02-26;10145.34570313;121.75740051;6271.35205078;75.26439667
SE;SUDESTE;2023-02-26;79889.91406250;112.99459839;45373.47656250;64.17530060
N;NORTE;2023-02-27;23463.36328125;103.98919678;16925.86523438;75.01509857
NE;NORDESTE;2023-02-27;9521.97753906;67.22039795;9297.18847656;65.63349915
S;SUL;2023-02-27;9244.92968750;110.95120239;7352.29882813;88.23719788
SE;SUDESTE;2023-02-27;79138.80468750;111.93219757;48049.65234375;67.96040344
N;NORTE;2023-02-28;23605.08984375;104.61730194;16961.73828125;75.17410278
NE;NORDESTE;2023-02-28;8985.51757813;63.43330002;8859.06152344;62.54059982
S;SUL;2023-02-28;8647.86816406;103.78569794;6654.09619141;79.85780334
SE;SUDESTE;2023-02-28;77344.71093750;109.39469910;50451.84765625;71.35800171
N;NORTE;2023-03-01;23645.64062500;88.48670197;17738.24609375;66.37999725
NE;NORDESTE;2023-03-01;8634.16113281;61.17789841;8634.16113281;61.17789841
S;SUL;2023-03-01;8558.93261719;121.11389923;7072.54882813;100.08070374
SE;SUDESTE;2023-03-01;75283.83593750;108.86979675;54120.90234375;78.26560211
N;NORTE;2023-03-02;23610.88281250;88.35659790;16210.34082031;60.66230011
NE;NORDESTE;2023-03-02;8413.58886719;59.61510086;8413.58886719;59.61510086
S;SUL;2023-03-02;8059.03515625;114.04000092;6386.52783203;90.37310028
SE;SUDESTE;2023-03-02;73828.16406250;106.76470184;55465.81250000;80.21050262
N;NORTE;2023-03-03;23494.96484375;87.92279816;15856.58691406;59.33850098
NE;NORDESTE;2023-03-03;8311.53515625;58.89199829;8311.53515625;58.89199829
S;SUL;2023-03-03;8017.65722656;113.45449829;6513.20214844;92.16560364
SE;SUDESTE;2023-03-03;72658.30468750;105.07299805;55833.30078125;80.74189758
N;NORTE;2023-03-04;23823.31054688;89.15160370;16985.17773438;63.56190109
NE;NORDESTE;2023-03-04;8300.59472656;58.81439972;8251.40332031;58.46590042
S;SUL;2023-03-04;8452.62011719;119.60949707;7016.31982422;99.28500366
SE;SUDESTE;2023-03-04;71098.41406250;102.81710052;55345.88281250;80.03700256
N;NORTE;2023-03-05;23865.38867188;89.30899811;15171.44628906;56.77460098
NE;NORDESTE;2023-03-05;8306.92871094;58.85929871;8257.73730469;58.51079941
S;SUL;2023-03-05;8876.20214844;125.60340118;6196.76123047;87.68779755
SE;SUDESTE;2023-03-05;70037.79687500;101.28340149;54455.31640625;78.74919891
N;NORTE;2023-03-06;23712.76562500;88.73789978;14996.17675781;56.11869812
NE;NORDESTE;2023-03-06;8276.77343750;58.64559937;8227.58105469;58.29710007
S;SUL;2023-03-06;9870.37304688;139.67149353;8650.91796875;122.41549683
SE;SUDESTE;2023-03-06;70078.78906250;101.34259796;58170.02734375;84.12110138
N;NORTE;2023-03-07;23474.35351563;87.84570313;14303.68261719;53.52719879
NE;NORDESTE;2023-03-07;8178.49707031;57.94929886;8129.30517578;57.60079956
S;SUL;2023-03-07;12207.32714844;172.74079895;6862.61718750;97.11000061
SE;SUDESTE;2023-03-07;69322.82812500;100.24939728;58661.72656250;84.83219910
N;NORTE;2023-03-08;23410.88476563;87.60820007;13913.64746094;52.06760025
NE;NORDESTE;2023-03-08;8024.75195313;56.85990143;7928.25976563;56.17620087
S;SUL;2023-03-08;12008.47851563;169.92700195;7617.42919922;107.79100037
SE;SUDESTE;2023-03-08;69253.01562500;100.14849854;57966.17968750;83.82630157
N;NORTE;2023-03-09;23124.40234375;86.53610229;15180.38476563;56.80799866
NE;NORDESTE;2023-03-09;7840.78906250;55.55649948;7779.86718750;55.12480164
S;SUL;2023-03-09;11803.14648438;167.02139282;10123.90136719;143.25909424
SE;SUDESTE;2023-03-09;69263.26562500;100.16329956;56328.92578125;81.45860291
N;NORTE;2023-03-10;22845.56250000;85.49259949;16440.14648438;61.52230072
NE;NORDESTE;2023-03-10;7658.52783203;54.26499939;7607.82324219;53.90579987
S;SUL;2023-03-10;11536.75781250;163.25180054;7618.75000000;107.80970001
SE;SUDESTE;2023-03-10;69617.92968750;100.67620087;54451.88671875;78.74420166
N;NORTE;2023-03-11;23333.33203125;87.31800079;17379.83593750;65.03880310
NE;NORDESTE;2023-03-11;7469.62304688;52.92649841;7421.18798828;52.58330154
S;SUL;2023-03-11;11190.98437500;158.35890198;6900.30908203;97.64340210
SE;SUDESTE;2023-03-11;70889.42187500;102.51490021;51612.32421875;74.63780212
N;NORTE;2023-03-12;23640.63085938;88.46790314;17558.62695313;65.70790100
NE;NORDESTE;2023-03-12;7276.86914063;51.56079865;7228.43408203;51.21760178
S;SUL;2023-03-12;10694.58007813;151.33450317;7498.15917969;106.10330200
SE;SUDESTE;2023-03-12;72689.09375000;105.11750031;46861.33203125;67.76730347
N;NORTE;2023-03-13;24329.99609375;91.04769897;17117.86523438;64.05850220
NE;NORDESTE;2023-03-13;7043.86279297;49.90980148;6995.42822266;49.56660080
S;SUL;2023-03-13;10017.03515625;141.74690247;7980.44824219;112.92800140
SE;SUDESTE;2023-03-13;74278.68750000;107.41619873;47727.41015625;69.01979828
N;NORTE;2023-03-14;24796.13867188;92.79209900;16441.25585938;61.52640152
NE;NORDESTE;2023-03-14;6960.31103516;49.31779861;6911.87597656;48.97460175
S;SUL;2023-03-14;9407.51953125;133.12190247;6534.73388672;92.47029877
SE;SUDESTE;2023-03-14;75084.64062500;108.58170319;47654.36718750;68.91410065
N;NORTE;2023-03-15;25895.19726563;96.90499878;17066.25976563;63.86529922
NE;NORDESTE;2023-03-15;7022.62304688;49.75930023;6974.18798828;49.41609955
S;SUL;2023-03-15;9040.27636719;127.92520142;6520.51220703;92.26899719
SE;SUDESTE;2023-03-15;76038.81250000;109.96160126;45296.72656250;65.50469971
N;NORTE;2023-03-16;26326.31445313;98.51830292;16427.50781250;61.47499847
NE;NORDESTE;2023-03-16;7073.34179688;50.11869812;6920.84619141;49.03810120
S;SUL;2023-03-16;8510.71289063;120.43150330;7837.99218750;110.91210175
SE;SUDESTE;2023-03-16;77462.07812500;112.01979828;46099.75781250;66.66600037
N;NORTE;2023-03-17;27418.96289063;102.60720062;17237.11328125;64.50469971
NE;NORDESTE;2023-03-17;7126.07617188;50.49229813;6971.68896484;49.39839935
S;SUL;2023-03-17;8028.15283203;113.60299683;6512.11621094;92.15019989
SE;SUDESTE;2023-03-17;78441.60937500;113.43630219;47220.85546875;68.28720093
N;NORTE;2023-03-18;28479.24414063;106.57499695;16984.56250000;63.55960083
NE;NORDESTE;2023-03-18;7338.73876953;51.99909973;7173.62695313;50.82920074
S;SUL;2023-03-18;7486.25878906;105.93489838;7202.04492188;101.91310120
SE;SUDESTE;2023-03-18;78777.87500000;113.92259979;48577.23828125;70.24870300
N;NORTE;2023-03-19;29787.85546875;111.47209930;17821.43554688;66.69139862
NE;NORDESTE;2023-03-19;7849.50683594;55.61819839;7663.75000000;54.30199814
S;SUL;2023-03-19;7071.35498047;100.06379700;6189.16308594;87.58029938
SE;SUDESTE;2023-03-19;78823.83593750;113.98909760;45738.36328125;66.14340210
N;NORTE;2023-03-20;30533.10351563;114.26090240;18466.81250000;69.10649872
NE;NORDESTE;2023-03-20;8643.73339844;61.24580002;8460.45703125;59.94720078
S;SUL;2023-03-20;6660.64208984;94.25199890;6209.21777344;87.86399841
SE;SUDESTE;2023-03-20;77392.91406250;111.91979980;48559.05859375;70.22239685
N;NORTE;2023-03-21;31407.78125000;117.53420258;18234.34960938;68.23660278
NE;NORDESTE;2023-03-21;9755.03906250;69.12000275;9439.45410156;66.88390350
S;SUL;2023-03-21;6357.84082031;89.96710205;5975.45410156;84.55609894
SE;SUDESTE;2023-03-21;75861.50000000;109.70520020;51161.75781250;73.98629761
N;NORTE;2023-03-22;32221.75781250;120.58020020;18186.01953125;68.05570221
NE;NORDESTE;2023-03-22;10542.61425781;74.70040131;10226.27148438;72.45890045
S;SUL;2023-03-22;6022.51318359;85.22209930;5812.60791016;82.25180054
SE;SUDESTE;2023-03-22;74587.00000000;107.86209869;51809.60156250;74.92310333
N;NORTE;2023-03-23;32840.09765625;122.89420319;17519.31445313;65.56079865
NE;NORDESTE;2023-03-23;10328.76269531;73.18520355;9999.17578125;70.84980011
S;SUL;2023-03-23;5951.06396484;84.21099854;5734.14697266;81.14150238
SE;SUDESTE;2023-03-23;73153.08593750;105.78849792;49755.40234375;71.95249939
N;NORTE;2023-03-24;32942.23828125;123.27639771;17181.34960938;64.29599762
NE;NORDESTE;2023-03-24;9393.20898438;66.55619812;9057.94726563;64.18070221
S;SUL;2023-03-24;6060.94091797;85.76580048;5878.65820313;83.18640137
SE;SUDESTE;2023-03-24;71002.00000000;102.67769623;50347.53906250;72.80879974
N;NORTE;2023-03-25;33050.25781250;123.68060303;17486.02343750;65.43620300
NE;NORDESTE;2023-03-25;8473.20312500;60.03749847;8253.35253906;58.47969818
S;SUL;2023-03-25;5959.52978516;84.33080292;5818.30517578;82.33239746
SE;SUDESTE;2023-03-25;68542.85156250;99.12149811;48377.74218750;69.96019745
N;NORTE;2023-03-26;33126.69140625;123.96669769;17662.25781250;66.09570313
NE;NORDESTE;2023-03-26;7698.10888672;54.54550171;7478.63720703;52.99039841
S;SUL;2023-03-26;5994.49511719;84.82559967;5850.26318359;82.78459930
SE;SUDESTE;2023-03-26;66258.89843750;95.76869965;45079.42578125;65.15650177
N;NORTE;2023-03-27;32973.39453125;123.39299774;18671.45117188;69.87229919
NE;NORDESTE;2023-03-27;7046.41601563;49.92789841;6834.33789063;48.42520142
S;SUL;2023-03-27;5709.51611328;80.79299927;5611.63281250;79.40789795
SE;SUDESTE;2023-03-27;64272.03125000;92.89689636;49437.35546875;71.45529938
N;NORTE;2023-03-28;32731.25195313;122.48680115;18977.42187500;71.01730347
NE;NORDESTE;2023-03-28;6521.82714844;46.21089935;6416.33496094;45.46340179
S;SUL;2023-03-28;5276.17822266;74.66100311;5197.93896484;73.55390167
SE;SUDESTE;2023-03-28;62456.20703125;90.27239990;49642.38281250;71.75160217
N;NORTE;2023-03-29;32532.07812500;121.74150085;19299.78906250;72.22360229
NE;NORDESTE;2023-03-29;6086.14794922;43.12379837;6038.46923828;42.78599930
S;SUL;2023-03-29;5061.27392578;71.62000275;4987.90722656;70.58180237
SE;SUDESTE;2023-03-29;60496.15234375;87.43939972;48912.58593750;70.69680023
N;NORTE;2023-03-30;32171.39648438;120.39179993;19905.73046875;74.49120331
NE;NORDESTE;2023-03-30;5854.38916016;41.48170090;5806.70996094;41.14379883
S;SUL;2023-03-30;5261.39990234;74.45189667;5182.37597656;73.33360291
SE;SUDESTE;2023-03-30;59229.41406250;85.60849762;48883.17578125;70.65429688
N;NORTE;2023-03-31;31534.33593750;118.00769806;19683.03515625;73.65779877
NE;NORDESTE;2023-03-31;5635.84912109;39.93320084;5621.84912109;39.83399963
S;SUL;2023-03-31;5534.27490234;78.31320190;5454.19677734;77.18009949
SE;SUDESTE;2023-03-31;58439.04296875;84.46610260;48900.30468750;70.67910004
N;NORTE;2023-04-01;30999.51757813;114.94999695;19573.45312500;72.58070374
NE;NORDESTE;2023-04-01;5432.42578125;47.27209854;5432.42578125;47.27209854
