,node0,node1,transfer_capacity,efficiency,name,length,carrier
35,MS,SP,12785.816740335813,0.9987745190552343,"LT 440 kV UHE Porto Primavera - Taquaruçu C1_LT 440 kV Getulina - Jupiá C1_LT 440 kV Ilha Solteira - Três Irmãos C1_LT 440 kV Jupiá - Três Irmãos C1_LT 230 kV Ivinhema 2 - Nova Porto Primavera, C1_LT 440 kV Ilha Solteira - Mirassol II C1_LT 440 kV UHE Porto Primavera - Novo Porto Primavera C1_LT 440 kV UHE Porto Primavera - Taquaruçu C2_LT 230 kV Nova Porto Primavera - Rio Brilhante, C1_LT 440 kV Getulina - Marechal Rondon C1_LT 440 kV Ilha Solteira - Mirassol II C2_LT 440 kV UHE Porto Primavera - Novo Porto Primavera C2_LT 440 kV Alta Paulista - Marechal Rondon, C1_LT 440 kV Baguaçu - lha Solteira, C2_LT 440 kV Baguaçu - lha Solteira, C1_LT 440 kV Ilha Solteira - Três Irmãos, C2_LT 230 kV Ivinhema 2 - Nova Porto Primavera, C2_LT 230 kV Nova Porto Primavera - Rio Brilhante, C2",116.08792367666666,ac
36,MT,PA,3513.2553938451833,0.9988479364780887,"LT 500 kV UHE São Manoel - Paranaíta C1_LT 500 kV Paranaíta - Teles Pires C2_LT 500 kV Paranaíta - Teles Pires C1_LT 230 kV Cláudia - Cachimbo, C1",82.92015499749999,ac
37,MT,RO,694.4247490387726,0.997181151157545,"LT 230 kV Vilhena - Jauru, C1_LT 230 kV Vilhena - Jauru, C2_LT 230 kV Vilhena - Jauru, C3",345.13400867,ac
38,PA,TO,4375.707303331901,0.9994035315849366,"LT 500 kV Itacaiúnas - Colinas C1_LT 500 kV Miracema - Serra Pelada, C1_LT 500 kV Miracema - Serra Pelada, C2_LT 500 kV Itacaiúnas - Colinas, C2",353.888133605,ac
39,PB,PE,6690.456466794476,0.9978161169939427,"LT 500 kV Campina Grande III - Garanhuns II C1_LT 230 kV Goianinha - Campina Grande II C1_LT 230 kV Pau Ferro - Campina Grande II C1_LT 230 kV Angelim - Campina Grande II C1_LT 230 kV Tacaimbó - Campina Grande II C2_LT 230 kV Tacaimbó - Campina Grande II C1_LT 230 kV Goianinha - Norfil C1_LT 500 kV Campina Grande III - Pau Ferro, C1_LT 230 kV Lagoa do Carro - Coteminas, C1_LT 230 kV Pau Ferro - Santa Rita II, C1_LT 230 kV Goianinha - João Pessoa II, C2_LT 230 kV Goianinha - João Pessoa II, C1_LT 500 kV Santa Luzia II - Bom Nome II C1_LT 500 kV João Pessoa II - Pau Ferro, C1",119.29106149285714,ac
40,PB,RN,5301.606968716931,0.9982923413712408,"LT 230 kV Campina Grande III - Extremoz II, C1_LT 230 kV Campina Grande III - Extremoz II, C2_LT 230 kV Campina Grande II - Paraíso C1_LT 230 kV Campina Grande II - Paraíso C2_LT 500 kV Campina Grande III - Ceará Mirim II C1_LT 500 kV Campina Grande III - Ceará Mirim II C2_LT 500 kV Ceara Mirim II - João Pessoa II, C1_LT 500 kV Eólico Oeste Seridó - Santa Luzia II, C1",161.41979444625,ac
41,PE,SE,1093.9268258329753,0.9994035315849366,LT 500 kV Xingó - Angelim II C1,195.07319041,ac
42,PI,TO,4375.707303331901,0.9994035315849366,"LT 500 kV Colinas - Ribeiro Gonçalves C2_LT 500 kV Colinas - Ribeiro Gonçalves C1_LT 500 kV Gilbués II - Miracema, C3_LT 500 kV Ribeiro Gonçalves - Colinas, C3",379.82306976,ac
43,PR,PRY,8751.414606663802,0.9994035315849366,LT 500 kV UHE Itaipu - Margem Direita C1_LT 500 kV UHE Itaipu - Margem Direita C2_LT 500 kV UHE Itaipu - Margem Direita C3_LT 500 kV UHE Itaipu - Margem Direita C4_LT 500 kV Margem Direita - Foz do Iguaçu C1_LT 500 kV Margem Direita - Foz do Iguaçu C2_LT 500 kV Margem Direita - Foz do Iguaçu C3_LT 500 kV Margem Direita - Foz do Iguaçu C4,5.51262001375,ac
44,PR,SC,11500.2339346169,0.9983200683610567,"LT 230 kV Curitiba - Joinville C1_LT 525 kV Curitiba - Blumenau C1_LT 525 kV Campos Novos - Areia C1_LT 525 kV Salto Santiago - Itá C1_LT 525 kV Salto Santiago - Itá C2_LT 230 kV Salto Osório - Xanxerê C1_LT 230 kV Pato Branco - Xanxerê C1_LT 230 kV Canoinhas - São Mateus do Sul C1_LT 230 kV Canoinhas - São Mateus do Sul C2_LT 230 kV Joinvile Norte - Curitiba C1_LT 230 kV Joinvile Norte - Curitiba C2_LT 525 kV Curitiba Leste - Blumenau, C1_LT 525 kV Abdon Batista 2 - Segredo, C1_LT 525 kV Joinville Sul - Areia, C1_LT 230 kV Ponta Grossa - Canoinhas, C1_LT 525 kV Abdon Batista 2 - Curitiba Oeste, C1",148.210702996875,ac
45,PR,SP,21029.321121765362,0.998710818543802,"LT 525 kV Londrina (ESU) - Assis, C1_LT 765 kV Itaberá - Ivaiporã C1_LT 765 kV Itaberá - Ivaiporã C2_LT 765 kV Itaberá - Ivaiporã C3_LT 500 kV Ibiúna - Bateias, C1_LT 500 kV Ibiúna - Bateias, C2_LT 230 kV Itararé II - Jaguariaíva C1_LT 230 kV Figueira - Chavantes C1_LT 230 kV Assis - Londrina (Copel) C1_LT 525 kV Londrina (ESU) - Assis, C2_LT 500 kV Itatiba - Bateias, C1_LT 230 kV Andirá Leste - Assis, C1_LT 230 kV Andirá Leste - Salto Grande, C1_LT 230 kV Nova Porto Primavera - Rosana, C2 (CD)_LT 230 kV Nova Porto Primavera - Rosana, C1 (CD)_LT 230 kV Assis - Londrina (Copel), C2_LT 600 kV Foz do Iguaçu - Ibiuna, C3_LT 600 kV Foz do Iguaçu - Ibiuna, C4_LT 500 kV Assis - Ponta Grossa, C1 e C2 (CD)",239.2946075868421,ac
46,RJ,SP,6795.035871344109,0.9990860486667378,"LT 500 kV UTE Baixada Fluminense - Cachoeira Paulista, C1_LT 500 kV Cachoeira Paulista - Resende C1_LT 500 kV Angra - Cachoeira Paulista C1_LT 230 kV Nilo Peçanha - Santa Cabeça C1_LT 500 kV Taubaté - Nova Iguaçu, C1_LT 500 kV Terminal Rio - Cachoeira Paulista, C1_LT 500 kV Fernão Dias - Terminal Rio, C1",163.0807929742857,ac
47,RR,VEN,231.47491634625752,0.997181151157545,LT 230 kV Venezuela - Boa Vista C1,197.53351212,ac
48,RS,SC,15301.192083656155,0.99808423884802,"LT 230 kV Lagoa Vermelha 2 - Barra Grande C1_LT 230 kV Xanxerê - Passo Fundo C1_LT 230 kV Xanxerê - Passo Fundo C2_LT 525 kV Itá - Nova Santa Rita C1_LT 525 kV Campos Novos - Caxias C1_LT 525 kV Itá - Caxias C1_LT 525 kV Santo Angelo - Itá C1_LT 525 kV Santo Angelo - Itá C2_LT 525 kV Campos Novos - Nova Santa Rita C1_LT 230 kV Foz do Chapecó - Xanxerê C1_LT 230 kV Foz do Chapecó - Xanxerê C2_LT 525 kV Itá - Nova Santa Rita C2_LT 230 kV UHE Barra Grande - Barra Grande C1_LT 230 kV UHE Barra Grande - Barra Grande C2_LT 230 kV UHE Barra Grande - Barra Grande C3_LT 230 kV Lajeado Grande - Forquilhinha C1_LT 230 kV Foz do Chapecó - Pinhalzinho 2, C1_LT 230 kV Foz do Chapecó - Pinhalzinho 2, C2_LT 230 kV Torres 2 - Forquilhinha, C1_LT 230 kV Lajeado Grande 2 - Forquilhinha, C3_LT 230 kV Lajeado Grande 2 - Forquilhinha, C2_LT 525 kV Capivari do Sul - Siderópolis 2, C1_LT 525 kV Porto Alegre Sul - Abdon Batista 2, C1 e C2 (CD)",142.36818534869565,ac
49,ARG,RS,2200,1.0,"LT 500 kV Garabi II - Rincón de Santa Maria, C1_LT 500 kV Garabi I - Rincón de Santa Maria, C1",6.141965655,hvdc
50,MG,PA,4000,1.0,LT 800 kV CC Xingu - Estreito,2082.78427579,hvdc
51,PA,RJ,8000,1.0,"LT 800 kV CC Xingu - Terminal Rio, C1_LT 800 kV CC Xingu - Terminal Rio, C2",2552.09672205,hvdc
52,PR,SP,6300,1.0,"LT 600 kV Foz do Iguaçu - Ibiúna, C1_LT 600 kV Foz do Iguaçu - Ibiúna, C2",791.8513578449999,hvdc
53,RS,URY,570,1.0,LT 230 kV Livramento 2 - Rivera C1_LT 500 kV Candiota - Melo C1,67.93473474,hvdc
