time,region,value
2018-04-19,N,677410.8281251199
2018-04-20,N,649832.625
2018-04-21,N,626572.3125
2018-04-22,N,607244.4843751199
2018-04-23,N,593343.7968751199
2018-04-24,N,577893.46875
2018-04-25,N,564255.46875
2018-04-26,N,541300.5
2018-04-27,N,521370.42187511997
2018-04-28,N,504679.96875
2018-04-29,N,489214.73437511997
2018-04-30,N,471616.96875
2018-05-01,N,449294.57812511997
2018-05-02,N,435455.71875
2018-05-03,N,422559.5625
2018-05-04,N,418897.5
2018-05-05,N,410832.70312511997
2018-05-06,N,404369.29687511997
2018-05-07,N,396955.17187511997
2018-05-08,N,395560.03125
2018-05-09,N,393469.03125
2018-05-10,N,387055.21875
2018-05-11,N,382112.22656255995
2018-05-12,N,378211.45312512
2018-05-13,N,373782.72656255995
2018-05-14,N,365995.14843744005
2018-05-15,N,362957.46093744005
2018-05-16,N,366347.97656255995
2018-05-17,N,366979.875
2018-05-18,N,355484.85937512
2018-05-19,N,338362.14843744005
2018-05-20,N,323685.89062512
2018-05-21,N,316049.85937512
2018-05-22,N,307114.71093744005
2018-05-23,N,291752.36718744005
2018-05-24,N,270185.48437512
2018-05-25,N,249175.64062512002
2018-05-26,N,238754.57812512002
2018-05-27,N,236107.33593744002
2018-05-28,N,240477.58593744002
2018-05-29,N,245868.14062512002
2018-05-30,N,247321.26562512002
2018-05-31,N,234107.01562512002
2018-06-01,N,215757.86718744002
2018-06-02,N,200618.88281255998
2018-06-03,N,196311.57421872002
2018-06-04,N,193410.79687512002
2018-06-05,N,192219.9375
2018-06-06,N,190555.78125
2018-06-07,N,186190.19531256
2018-06-08,N,177504.57421872002
2018-06-09,N,168268.07812512002
2018-06-10,N,159201.86718744
2018-06-11,N,151935.52734384
2018-06-12,N,149949.0
2018-06-13,N,150618.09375
2018-06-14,N,149337.26953127998
2018-06-15,N,140071.80468744
2018-06-16,N,137548.99218744
2018-06-17,N,138388.80468744
2018-06-18,N,142046.8125
2018-06-19,N,140769.38671872002
2018-06-20,N,134096.68359384
2018-06-21,N,127940.35546872001
2018-06-22,N,118902.45703127999
2018-06-23,N,112703.68359384
2018-06-24,N,109582.00781256001
2018-06-25,N,112165.55859384
2018-06-26,N,116525.85937512
2018-06-27,N,117723.79687512
2018-06-28,N,115545.41015616
2018-06-29,N,113010.64453127999
2018-06-30,N,106972.875
2018-07-01,N,103294.92187512001
2018-07-02,N,99463.875
2018-07-03,N,99197.47265616
2018-07-04,N,100391.42578127999
2018-07-05,N,99024.89062512001
2018-07-06,N,96573.76757808
2018-07-07,N,92731.77539063999
2018-07-08,N,88745.95312512
2018-07-09,N,83411.01562512
2018-07-10,N,83419.63476552
2018-07-11,N,87275.30273448
2018-07-12,N,88780.6582032
2018-07-13,N,91520.71289063999
2018-07-14,N,89717.66601552
2018-07-15,N,91166.03906256001
2018-07-16,N,87367.53515616
2018-07-17,N,84638.37890616
