,state,time,value,sector
13,AP,2014,40970.0,Public Lighting
12,AP,2014,107940.0,Public Sector
14,AP,2014,22580.0,Public Service
8,AP,2014,534030.0,Residential
11,AP,2014,3180.0,Rural
32,AP,2014,1014620.0,Total
18,AP,2015,272860.0,Commercial
17,AP,2015,37370.0,Industrial
23,AP,2015,3230.0,Own Use
21,AP,2015,39570.0,Public Lighting
20,AP,2015,107000.0,Public Sector
22,AP,2015,21300.0,Public Service
16,AP,2015,565440.0,Residential
19,AP,2015,3610.0,Rural
59,AP,2015,1050380.0,Total
26,AP,2016,261410.00000000003,Commercial
25,AP,2016,47400.0,Industrial
31,AP,2016,6680.0,Own Use
29,AP,2016,44800.0,Public Lighting
28,AP,2016,106800.0,Public Sector
30,AP,2016,21550.0,Public Service
24,AP,2016,621340.0,Residential
27,AP,2016,4430.0,Rural
86,AP,2016,1114400.0,Total
34,AP,2017,254910.0,Commercial
33,AP,2017,61740.0,Industrial
39,AP,2017,6330.0,Own Use
37,AP,2017,38750.0,Public Lighting
36,AP,2017,105380.0,Public Sector
38,AP,2017,22290.0,Public Service
32,AP,2017,579130.0,Residential
35,AP,2017,4560.0,Rural
113,AP,2017,1073100.0,Total
42,AP,2018,253530.0,Commercial
41,AP,2018,87700.0,Industrial
47,AP,2018,7580.0,Own Use
45,AP,2018,26990.0,Public Lighting
44,AP,2018,106370.0,Public Sector
46,AP,2018,22160.0,Public Service
40,AP,2018,544970.0,Residential
43,AP,2018,4380.0,Rural
140,AP,2018,1053680.0,Total
50,AP,2019,260760.0,Commercial
49,AP,2019,106090.0,Industrial
55,AP,2019,8090.0,Own Use
53,AP,2019,29680.0,Public Lighting
52,AP,2019,120510.0,Public Sector
54,AP,2019,20380.0,Public Service
48,AP,2019,524500.0,Residential
51,AP,2019,4190.0,Rural
167,AP,2019,1074210.0,Total
58,AP,2020,232740.0,Commercial
57,AP,2020,106650.0,Industrial
63,AP,2020,8360.0,Own Use
61,AP,2020,36350.0,Public Lighting
60,AP,2020,92480.0,Public Sector
62,AP,2020,19860.0,Public Service
56,AP,2020,517970.0,Residential
59,AP,2020,4400.0,Rural
194,AP,2020,1018820.0,Total
66,AP,2021,278490.0,Commercial
65,AP,2021,73450.0,Industrial
71,AP,2021,7520.0,Own Use
69,AP,2021,38950.0,Public Lighting
68,AP,2021,99640.0,Public Sector
70,AP,2021,23170.0,Public Service
64,AP,2021,613640.0,Residential
67,AP,2021,5150.0,Rural
221,AP,2021,1140010.0,Total
74,AP,2022,268450.0,Commercial
73,AP,2022,103420.0,Industrial
79,AP,2022,4880.0,Own Use
77,AP,2022,81670.0,Public Lighting
76,AP,2022,104540.0,Public Sector
78,AP,2022,21430.0,Public Service
72,AP,2022,537900.0,Residential
75,AP,2022,4170.0,Rural
248,AP,2022,1126480.0,Total
2,BA,2013,3307260.0,Commercial
1,BA,2013,9902530.0,Industrial
7,BA,2013,79190.0,Own Use
5,BA,2013,882070.0,Public Lighting
4,BA,2013,675140.0,Public Sector
6,BA,2013,860230.0,Public Service
0,BA,2013,6143550.0,Residential
3,BA,2013,1471710.0,Rural
15,BA,2013,23321690.0,Total
10,BA,2014,3467710.0,Commercial
9,BA,2014,10683990.0,Industrial
15,BA,2014,73680.0,Own Use
13,BA,2014,925460.0,Public Lighting
12,BA,2014,678680.0,Public Sector
14,BA,2014,875210.0,Public Service
8,BA,2014,6526180.0,Residential
11,BA,2014,1514080.0,Rural
42,BA,2014,24744980.0,Total
18,BA,2015,3655910.0,Commercial
17,BA,2015,9450770.0,Industrial
23,BA,2015,72160.0,Own Use
21,BA,2015,991000.0,Public Lighting
20,BA,2015,693760.0,Public Sector
22,BA,2015,888620.0,Public Service
16,BA,2015,6686760.0,Residential
19,BA,2015,1710110.0,Rural
69,BA,2015,24149100.0,Total
26,BA,2016,3756080.0,Commercial
25,BA,2016,8628020.0,Industrial
31,BA,2016,72360.0,Own Use
29,BA,2016,1015510.0,Public Lighting
28,BA,2016,713660.0,Public Sector
30,BA,2016,940960.0,Public Service
24,BA,2016,6888580.0,Residential
27,BA,2016,1930250.0,Rural
96,BA,2016,23945410.0,Total
34,BA,2017,3706210.0,Commercial
33,BA,2017,8964530.0,Industrial
39,BA,2017,70190.0,Own Use
37,BA,2017,1081550.0,Public Lighting
36,BA,2017,702900.0,Public Sector
38,BA,2017,963770.0,Public Service
32,BA,2017,6842620.0,Residential
35,BA,2017,1999690.0,Rural
123,BA,2017,24331450.0,Total
42,BA,2018,3828760.0,Commercial
41,BA,2018,9281480.0,Industrial
47,BA,2018,72190.0,Own Use
45,BA,2018,1158830.0,Public Lighting
44,BA,2018,735900.0,Public Sector
46,BA,2018,1015010.0,Public Service
40,BA,2018,7039930.0,Residential
43,BA,2018,1960010.0,Rural
150,BA,2018,25092100.0,Total
50,BA,2019,4026740.0,Commercial
49,BA,2019,9229890.0,Industrial
55,BA,2019,70060.0,Own Use
53,BA,2019,1179670.0,Public Lighting
52,BA,2019,775500.0,Public Sector
54,BA,2019,1079720.0,Public Service
48,BA,2019,7341870.0,Residential
51,BA,2019,2216310.0,Rural
177,BA,2019,25919750.0,Total
58,BA,2020,3391260.0,Commercial
57,BA,2020,9181820.0,Industrial
63,BA,2020,80640.0,Own Use
61,BA,2020,1138750.0,Public Lighting
60,BA,2020,609390.0,Public Sector
62,BA,2020,1042240.0,Public Service
56,BA,2020,7463540.0,Residential
59,BA,2020,1917650.0,Rural
204,BA,2020,24825300.0,Total
66,BA,2021,3753840.0,Commercial
65,BA,2021,9454890.0,Industrial
71,BA,2021,79220.0,Own Use
69,BA,2021,1142070.0,Public Lighting
68,BA,2021,658710.0,Public Sector
70,BA,2021,1139030.0,Public Service
64,BA,2021,7632080.0,Residential
67,BA,2021,2338740.0,Rural
231,BA,2021,26198580.0,Total
74,BA,2022,3950450.0,Commercial
73,BA,2022,9451850.0,Industrial
79,BA,2022,86630.0,Own Use
77,BA,2022,1113580.0,Public Lighting
76,BA,2022,734280.0,Public Sector
78,BA,2022,1117650.0,Public Service
72,BA,2022,7555350.0,Residential
75,BA,2022,2117600.0,Rural
258,BA,2022,26127370.0,Total
2,CE,2013,2042830.0,Commercial
1,CE,2013,2498320.0,Industrial
7,CE,2013,23680.0,Own Use
5,CE,2013,444500.0,Public Lighting
4,CE,2013,568920.0,Public Sector
6,CE,2013,289180.0,Public Service
0,CE,2013,3750610.0,Residential
3,CE,2013,1190600.0,Rural
9,CE,2013,10808640.0,Total
10,CE,2014,2182900.0,Commercial
9,CE,2014,2456430.0,Industrial
15,CE,2014,22910.0,Own Use
13,CE,2014,458380.0,Public Lighting
12,CE,2014,620550.0,Public Sector
14,CE,2014,295360.0,Public Service
8,CE,2014,4020820.0,Residential
11,CE,2014,1299170.0,Rural
36,CE,2014,11356500.0,Total
18,CE,2015,2253940.0,Commercial
17,CE,2015,2407480.0,Industrial
23,CE,2015,23940.0,Own Use
21,CE,2015,474680.0,Public Lighting
20,CE,2015,610440.0,Public Sector
22,CE,2015,306260.0,Public Service
16,CE,2015,3933360.0,Residential
19,CE,2015,1315620.0,Rural
63,CE,2015,11325730.0,Total
26,CE,2016,2317840.0,Commercial
25,CE,2016,2697810.0,Industrial
31,CE,2016,23850.0,Own Use
29,CE,2016,496660.0,Public Lighting
28,CE,2016,651120.0,Public Sector
30,CE,2016,301070.0,Public Service
24,CE,2016,4129080.0,Residential
27,CE,2016,1296430.0,Rural
90,CE,2016,11913850.0,Total
34,CE,2017,2259510.0,Commercial
33,CE,2017,2383270.0,Industrial
39,CE,2017,24540.0,Own Use
37,CE,2017,525610.0,Public Lighting
36,CE,2017,649850.0,Public Sector
38,CE,2017,301430.0,Public Service
32,CE,2017,4074960.0,Residential
35,CE,2017,1204970.0,Rural
117,CE,2017,11424150.0,Total
42,CE,2018,1931130.0,Commercial
41,CE,2018,2321110.0,Industrial
47,CE,2018,23740.0,Own Use
45,CE,2018,488620.0,Public Lighting
44,CE,2018,633600.0,Public Sector
46,CE,2018,317690.0,Public Service
40,CE,2018,4334860.0,Residential
43,CE,2018,1214700.0,Rural
144,CE,2018,11265440.0,Total
50,CE,2019,2409260.0,Commercial
49,CE,2019,2503880.0,Industrial
55,CE,2019,24050.0,Own Use
53,CE,2019,517309.99999999994,Public Lighting
52,CE,2019,641110.0,Public Sector
54,CE,2019,337820.0,Public Service
48,CE,2019,4586320.0,Residential
51,CE,2019,1260210.0,Rural
171,CE,2019,12279950.0,Total
58,CE,2020,2111390.0,Commercial
57,CE,2020,2204650.0,Industrial
63,CE,2020,22640.0,Own Use
61,CE,2020,571050.0,Public Lighting
60,CE,2020,523340.00000000006,Public Sector
62,CE,2020,367370.0,Public Service
56,CE,2020,4884040.0,Residential
59,CE,2020,1263480.0,Rural
198,CE,2020,11947970.0,Total
66,CE,2021,2233550.0,Commercial
65,CE,2021,2538920.0,Industrial
71,CE,2021,23800.0,Own Use
69,CE,2021,654670.0,Public Lighting
68,CE,2021,542420.0,Public Sector
70,CE,2021,305790.0,Public Service
64,CE,2021,5509260.0,Residential
67,CE,2021,1391680.0,Rural
225,CE,2021,13200090.0,Total
74,CE,2022,2281710.0,Commercial
73,CE,2022,2656480.0,Industrial
79,CE,2022,44510.0,Own Use
77,CE,2022,637080.0,Public Lighting
76,CE,2022,656750.0,Public Sector
78,CE,2022,390970.0,Public Service
72,CE,2022,5006370.0,Residential
75,CE,2022,1210710.0,Rural
252,CE,2022,12884570.0,Total
2,DF,2013,2016410.0,Commercial
1,DF,2013,783960.0,Industrial
7,DF,2013,4120.0,Own Use
5,DF,2013,402230.0,Public Lighting
4,DF,2013,639490.0,Public Sector
6,DF,2013,349090.0,Public Service
0,DF,2013,2191310.0,Residential
3,DF,2013,146850.0,Rural
26,DF,2013,6533440.0,Total
10,DF,2014,2095860.0000000002,Commercial
9,DF,2014,804830.0,Industrial
15,DF,2014,4010.0,Own Use
13,DF,2014,417870.0,Public Lighting
12,DF,2014,640700.0,Public Sector
14,DF,2014,360880.0,Public Service
