REGION,TECHNOLOGY,YEAR,VALUE
SUL,oil,2024,1200.0
SUL,oil,2025,1200.0
SUL,oil,2026,1200.0
SUL,oil,2027,1200.0
SUL,oil,2028,1200.0
SUL,oil,2029,1200.0
SUL,oil,2030,1200.0
SUL,gas,2024,1260.0
SUL,gas,2025,1260.0
SUL,gas,2026,1260.0
SUL,gas,2027,1260.0
SUL,gas,2028,1260.0
SUL,gas,2029,1260.0
SUL,gas,2030,1260.0
SUL,solar_pv,2024,1225.116279
SUL,solar_pv,2025,1150.263566
SUL,solar_pv,2026,1075.410853
SUL,solar_pv,2027,1000.55814
SUL,solar_pv,2028,925.7054264
SUL,solar_pv,2029,850.8527132
SUL,solar_pv,2030,776.0
SUL,hydro,2024,2939.0
SUL,hydro,2025,2939.0
SUL,hydro,2026,2939.0
SUL,hydro,2027,2939.0
SUL,hydro,2028,2939.0
SUL,hydro,2029,2939.0
SUL,hydro,2030,2939.0
SUL,mini_hydro,2024,3499.0
SUL,mini_hydro,2025,3499.0
SUL,mini_hydro,2026,3499.0
SUL,mini_hydro,2027,3499.0
SUL,mini_hydro,2028,3499.0
SUL,mini_hydro,2029,3499.0
SUL,mini_hydro,2030,3499.0
SUL,on_wind,2024,1180.2
SUL,on_wind,2025,1131.333333
SUL,on_wind,2026,1082.466667
SUL,on_wind,2027,1033.6
SUL,on_wind,2028,984.7333333
SUL,on_wind,2029,935.8666667
SUL,on_wind,2030,887.0
SUL,off_wind,2024,2848.2
SUL,off_wind,2025,2708.666667
SUL,off_wind,2026,2569.133333
SUL,off_wind,2027,2429.6
SUL,off_wind,2028,2290.066667
SUL,off_wind,2029,2150.533333
SUL,off_wind,2030,2011.0
SUL,nuclear,2024,6318.0
SUL,nuclear,2025,6318.0
SUL,nuclear,2026,6318.0
SUL,nuclear,2027,6318.0
SUL,nuclear,2028,6318.0
SUL,nuclear,2029,6318.0
SUL,nuclear,2030,6318.0
SUL,small_hydro,2024,2500.0
SUL,small_hydro,2025,2500.0
SUL,small_hydro,2026,2500.0
SUL,small_hydro,2027,2500.0
SUL,small_hydro,2028,2500.0
SUL,small_hydro,2029,2500.0
SUL,small_hydro,2030,2500.0
NORTE,biomass,2024,1905.0
NORTE,biomass,2025,1905.0
NORTE,biomass,2026,1905.0
NORTE,biomass,2027,1905.0
NORTE,biomass,2028,1905.0
NORTE,biomass,2029,1905.0
NORTE,biomass,2030,1905.0
NORTE,coal,2024,2500.0
NORTE,coal,2025,2500.0
NORTE,coal,2026,2500.0
NORTE,coal,2027,2500.0
NORTE,coal,2028,2500.0
NORTE,coal,2029,2500.0
NORTE,coal,2030,2500.0
NORTE,oil,2024,1200.0
NORTE,oil,2025,1200.0
NORTE,oil,2026,1200.0
NORTE,oil,2027,1200.0
NORTE,oil,2028,1200.0
NORTE,oil,2029,1200.0
NORTE,oil,2030,1200.0
NORTE,gas,2024,1260.0
NORTE,gas,2025,1260.0
NORTE,gas,2026,1260.0
NORTE,gas,2027,1260.0
NORTE,gas,2028,1260.0
NORTE,gas,2029,1260.0
NORTE,gas,2030,1260.0
NORTE,solar_pv,2024,1225.116279
NORTE,solar_pv,2025,1150.263566
NORTE,solar_pv,2026,1075.410853
NORTE,solar_pv,2027,1000.55814
NORTE,solar_pv,2028,925.7054264
NORTE,solar_pv,2029,850.8527132
NORTE,solar_pv,2030,776.0
NORTE,hydro,2024,2939.0
NORTE,hydro,2025,2939.0
NORTE,hydro,2026,2939.0
NORTE,hydro,2027,2939.0
NORTE,hydro,2028,2939.0
NORTE,hydro,2029,2939.0
NORTE,hydro,2030,2939.0
NORTE,mini_hydro,2024,3499.0
NORTE,mini_hydro,2025,3499.0
NORTE,mini_hydro,2026,3499.0
NORTE,mini_hydro,2027,3499.0
NORTE,mini_hydro,2028,3499.0
NORTE,mini_hydro,2029,3499.0
NORTE,mini_hydro,2030,3499.0
NORTE,on_wind,2024,1180.2
NORTE,on_wind,2025,1131.333333
NORTE,on_wind,2026,1082.466667
NORTE,on_wind,2027,1033.6
NORTE,on_wind,2028,984.7333333
NORTE,on_wind,2029,935.8666667
NORTE,on_wind,2030,887.0
NORTE,off_wind,2024,2848.2
NORTE,off_wind,2025,2708.666667
NORTE,off_wind,2026,2569.133333
NORTE,off_wind,2027,2429.6
NORTE,off_wind,2028,2290.066667
NORTE,off_wind,2029,2150.533333
NORTE,off_wind,2030,2011.0
NORTE,nuclear,2024,6318.0
NORTE,nuclear,2025,6318.0
NORTE,nuclear,2026,6318.0
NORTE,nuclear,2027,6318.0
NORTE,nuclear,2028,6318.0
NORTE,nuclear,2029,6318.0
NORTE,nuclear,2030,6318.0
NORTE,small_hydro,2024,2500.0
NORTE,small_hydro,2025,2500.0
NORTE,small_hydro,2026,2500.0
NORTE,small_hydro,2027,2500.0
NORTE,small_hydro,2028,2500.0
NORTE,small_hydro,2029,2500.0
NORTE,small_hydro,2030,2500.0
SUDESTE,biomass,2024,1905.0
SUDESTE,biomass,2025,1905.0
SUDESTE,biomass,2026,1905.0
SUDESTE,biomass,2027,1905.0
SUDESTE,biomass,2028,1905.0
SUDESTE,biomass,2029,1905.0
SUDESTE,biomass,2030,1905.0
SUDESTE,coal,2024,2500.0
