REGION,FUEL,TIMESLICE,YEAR,VALUE
NORDESTE,DEM,413,2024,0.00010767529408713949
NORDESTE,DEM,414,2024,0.00010229244794113318
NORDESTE,DEM,415,2024,9.765810908702725e-05
NORDESTE,DEM,416,2024,9.946046188770015e-05
NORDESTE,DEM,417,2024,0.00010473308103162674
NORDESTE,DEM,418,2024,0.00010491839429067872
NORDESTE,DEM,419,2024,0.00010565239307119426
NORDESTE,DEM,420,2024,0.00010593813537658555
NORDESTE,DEM,421,2024,0.00010408085749709858
NORDESTE,DEM,422,2024,0.00010935178084099315
NORDESTE,DEM,423,2024,0.00011511165986077986
NORDESTE,DEM,424,2024,0.00011730602510218246
NORDESTE,DEM,425,2024,0.0001158455644301825
NORDESTE,DEM,426,2024,0.00011141293156877118
NORDESTE,DEM,427,2024,0.0001166039638889362
NORDESTE,DEM,428,2024,0.00011989645386216899
NORDESTE,DEM,429,2024,0.0001202359907130197
NORDESTE,DEM,430,2024,0.00012489303444533178
NORDESTE,DEM,431,2024,0.00012518650206197997
NORDESTE,DEM,432,2024,0.00012243242859890583
NORDESTE,DEM,433,2024,0.00011571234991655793
NORDESTE,DEM,434,2024,0.00011243870216590289
NORDESTE,DEM,435,2024,0.00011020316666816793
NORDESTE,DEM,436,2024,0.00010864830646105355
NORDESTE,DEM,437,2024,0.00010733971410303011
NORDESTE,DEM,438,2024,0.00010231656598603269
NORDESTE,DEM,439,2024,9.752838038457958e-05
NORDESTE,DEM,440,2024,0.0001007483278008881
NORDESTE,DEM,441,2024,0.00010621323182622043
NORDESTE,DEM,442,2024,0.000106205977570528
NORDESTE,DEM,443,2024,0.00010570788341668567
NORDESTE,DEM,444,2024,0.00010488570303450635
NORDESTE,DEM,445,2024,0.00010487270190092773
NORDESTE,DEM,446,2024,0.00010827805678740111
NORDESTE,DEM,447,2024,0.00011440055438069629
NORDESTE,DEM,448,2024,0.00011822872874181397
NORDESTE,DEM,449,2024,0.00011925148458333323
NORDESTE,DEM,450,2024,0.00011460329669563268
NORDESTE,DEM,451,2024,0.0001186645493500369
NORDESTE,DEM,452,2024,0.00012040020068278463
