REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
SUL,IMPBIO,BIO,1,2027,1.0
SUL,IMPBIO,BIO,1,2028,1.0
SUL,IMPBIO,BIO,1,2029,1.0
SUL,IMPBIO,BIO,1,2030,1.0
SUL,MINBIO,BIO,1,2024,1.0
SUL,MINBIO,BIO,1,2025,1.0
SUL,MINBIO,BIO,1,2026,1.0
SUL,MINBIO,BIO,1,2027,1.0
SUL,MINBIO,BIO,1,2028,1.0
SUL,MINBIO,BIO,1,2029,1.0
SUL,MINBIO,BIO,1,2030,1.0
SUL,IMPCOA,COA,1,2024,1.0
SUL,IMPCOA,COA,1,2025,1.0
SUL,IMPCOA,COA,1,2026,1.0
SUL,IMPCOA,COA,1,2027,1.0
SUL,IMPCOA,COA,1,2028,1.0
SUL,IMPCOA,COA,1,2029,1.0
SUL,IMPCOA,COA,1,2030,1.0
SUL,MINCOA,COA,1,2024,1.0
SUL,MINCOA,COA,1,2025,1.0
SUL,MINCOA,COA,1,2026,1.0
SUL,MINCOA,COA,1,2027,1.0
SUL,MINCOA,COA,1,2028,1.0
SUL,MINCOA,COA,1,2029,1.0
SUL,MINCOA,COA,1,2030,1.0
SUL,IMPLFO,LFO,1,2024,1.0
SUL,IMPLFO,LFO,1,2025,1.0
SUL,IMPLFO,LFO,1,2026,1.0
SUL,IMPLFO,LFO,1,2027,1.0
SUL,IMPLFO,LFO,1,2028,1.0
SUL,IMPLFO,LFO,1,2029,1.0
SUL,IMPLFO,LFO,1,2030,1.0
SUL,IMPHFO,HFO,1,2024,1.0
SUL,IMPHFO,HFO,1,2025,1.0
SUL,IMPHFO,HFO,1,2026,1.0
SUL,IMPHFO,HFO,1,2027,1.0
SUL,IMPHFO,HFO,1,2028,1.0
SUL,IMPHFO,HFO,1,2029,1.0
SUL,IMPHFO,HFO,1,2030,1.0
SUL,UPSREF001,LFO,1,2024,0.9
SUL,UPSREF001,LFO,1,2025,0.9
SUL,UPSREF001,LFO,1,2026,0.9
SUL,UPSREF001,LFO,1,2027,0.9
SUL,UPSREF001,LFO,1,2028,0.9
SUL,UPSREF001,LFO,1,2029,0.9
SUL,UPSREF001,LFO,1,2030,0.9
SUL,UPSREF001,HFO,1,2024,0.1
SUL,UPSREF001,HFO,1,2025,0.1
SUL,UPSREF001,HFO,1,2026,0.1
SUL,UPSREF001,HFO,1,2027,0.1
SUL,UPSREF001,HFO,1,2028,0.1
SUL,UPSREF001,HFO,1,2029,0.1
SUL,UPSREF001,HFO,1,2030,0.1
SUL,UPSREF002,LFO,1,2024,0.8
SUL,UPSREF002,LFO,1,2025,0.8
SUL,UPSREF002,LFO,1,2026,0.8
SUL,UPSREF002,LFO,1,2027,0.8
SUL,UPSREF002,LFO,1,2028,0.8
SUL,UPSREF002,LFO,1,2029,0.8
SUL,UPSREF002,LFO,1,2030,0.8
SUL,UPSREF002,HFO,1,2024,0.2
SUL,UPSREF002,HFO,1,2025,0.2
SUL,UPSREF002,HFO,1,2026,0.2
SUL,UPSREF002,HFO,1,2027,0.2
SUL,UPSREF002,HFO,1,2028,0.2
SUL,UPSREF002,HFO,1,2029,0.2
SUL,UPSREF002,HFO,1,2030,0.2
SUL,IMPNGS,NGS,1,2024,1.0
SUL,IMPNGS,NGS,1,2025,1.0
SUL,IMPNGS,NGS,1,2026,1.0
SUL,IMPNGS,NGS,1,2027,1.0
SUL,IMPNGS,NGS,1,2028,1.0
SUL,IMPNGS,NGS,1,2029,1.0
SUL,IMPNGS,NGS,1,2030,1.0
SUL,MINNGS,NGS,1,2024,1.0
SUL,MINNGS,NGS,1,2025,1.0
SUL,MINNGS,NGS,1,2026,1.0
SUL,MINNGS,NGS,1,2027,1.0
SUL,MINNGS,NGS,1,2028,1.0
SUL,MINNGS,NGS,1,2029,1.0
SUL,MINNGS,NGS,1,2030,1.0
SUL,MINSOL,SOL,1,2024,1.0
SUL,MINSOL,SOL,1,2025,1.0
SUL,MINSOL,SOL,1,2026,1.0
SUL,MINSOL,SOL,1,2027,1.0
SUL,MINSOL,SOL,1,2028,1.0
SUL,MINSOL,SOL,1,2029,1.0
SUL,MINSOL,SOL,1,2030,1.0
SUL,MINWND,WND,1,2024,1.0
SUL,MINWND,WND,1,2025,1.0
SUL,MINWND,WND,1,2026,1.0
SUL,MINWND,WND,1,2027,1.0
SUL,MINWND,WND,1,2028,1.0
SUL,MINWND,WND,1,2029,1.0
SUL,MINWND,WND,1,2030,1.0
SUL,IMPURN,URN,1,2024,1.0
SUL,IMPURN,URN,1,2025,1.0
SUL,IMPURN,URN,1,2026,1.0
