REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
NORTE,IMPHFO,1,2028,9.9376
NORTE,IMPHFO,1,2029,10.1568
NORTE,IMPHFO,1,2030,10.376
NORTE,UPSREF001,1,2024,0.71775
NORTE,UPSREF001,1,2025,0.71775
NORTE,UPSREF001,1,2026,0.71775
NORTE,UPSREF001,1,2027,0.71775
NORTE,UPSREF001,1,2028,0.71775
NORTE,UPSREF001,1,2029,0.71775
NORTE,UPSREF001,1,2030,0.71775
NORTE,UPSREF002,1,2024,0.71775
NORTE,UPSREF002,1,2025,0.71775
NORTE,UPSREF002,1,2026,0.71775
NORTE,UPSREF002,1,2027,0.71775
NORTE,UPSREF002,1,2028,0.71775
NORTE,UPSREF002,1,2029,0.71775
NORTE,UPSREF002,1,2030,0.71775
NORTE,IMPNGS,1,2024,5.361714285
NORTE,IMPNGS,1,2025,5.539285715
NORTE,IMPNGS,1,2026,5.718428572
NORTE,IMPNGS,1,2027,5.899142857
NORTE,IMPNGS,1,2028,6.076714285
NORTE,IMPNGS,1,2029,6.252714285
NORTE,IMPNGS,1,2030,6.433428572
NORTE,MINNGS,1,2024,4.874285714
NORTE,MINNGS,1,2025,5.035714286
NORTE,MINNGS,1,2026,5.198571429
NORTE,MINNGS,1,2027,5.362857143
NORTE,MINNGS,1,2028,5.524285714
NORTE,MINNGS,1,2029,5.684285714
NORTE,MINNGS,1,2030,5.848571429
NORTE,IMPURN,1,2024,2.5
NORTE,IMPURN,1,2025,2.5
NORTE,IMPURN,1,2026,2.5
NORTE,IMPURN,1,2027,2.5
NORTE,IMPURN,1,2028,2.5
NORTE,IMPURN,1,2029,2.5
NORTE,IMPURN,1,2030,2.5
SUDESTE,IMPOIL,1,2024,12.6478
SUDESTE,IMPOIL,1,2025,12.76
SUDESTE,IMPOIL,1,2026,13.0614
SUDESTE,IMPOIL,1,2027,13.3628
SUDESTE,IMPOIL,1,2028,13.6642
SUDESTE,IMPOIL,1,2029,13.9656
SUDESTE,IMPOIL,1,2030,14.267
SUDESTE,MINOIL,1,2024,11.498
SUDESTE,MINOIL,1,2025,11.6
SUDESTE,MINOIL,1,2026,11.874
SUDESTE,MINOIL,1,2027,12.148
SUDESTE,MINOIL,1,2028,12.422
SUDESTE,MINOIL,1,2029,12.696
SUDESTE,MINOIL,1,2030,12.97
SUDESTE,IMPBIO,1,2024,6.16
SUDESTE,IMPBIO,1,2025,6.16
SUDESTE,IMPBIO,1,2026,6.16
SUDESTE,IMPBIO,1,2027,6.16
SUDESTE,IMPBIO,1,2028,6.16
SUDESTE,IMPBIO,1,2029,6.16
SUDESTE,IMPBIO,1,2030,6.16
SUDESTE,MINBIO,1,2024,5.6
SUDESTE,MINBIO,1,2025,5.6
SUDESTE,MINBIO,1,2026,5.6
SUDESTE,MINBIO,1,2027,5.6
SUDESTE,MINBIO,1,2028,5.6
SUDESTE,MINBIO,1,2029,5.6
SUDESTE,MINBIO,1,2030,5.6
SUDESTE,IMPCOA,1,2024,3.619
SUDESTE,IMPCOA,1,2025,3.641
SUDESTE,IMPCOA,1,2026,3.652
SUDESTE,IMPCOA,1,2027,3.674
SUDESTE,IMPCOA,1,2028,3.696
SUDESTE,IMPCOA,1,2029,3.707
SUDESTE,IMPCOA,1,2030,3.729
SUDESTE,MINCOA,1,2024,3.29
SUDESTE,MINCOA,1,2025,3.31
SUDESTE,MINCOA,1,2026,3.32
SUDESTE,MINCOA,1,2027,3.34
SUDESTE,MINCOA,1,2028,3.36
SUDESTE,MINCOA,1,2029,3.37
SUDESTE,MINCOA,1,2030,3.39
SUDESTE,IMPLFO,1,2024,15.29234
SUDESTE,IMPLFO,1,2025,15.428
SUDESTE,IMPLFO,1,2026,15.79242
SUDESTE,IMPLFO,1,2027,16.15684
SUDESTE,IMPLFO,1,2028,16.52126
SUDESTE,IMPLFO,1,2029,16.88568
SUDESTE,IMPLFO,1,2030,17.2501
SUDESTE,IMPHFO,1,2024,9.1984
SUDESTE,IMPHFO,1,2025,9.28
SUDESTE,IMPHFO,1,2026,9.4992
SUDESTE,IMPHFO,1,2027,9.7184
SUDESTE,IMPHFO,1,2028,9.9376
SUDESTE,IMPHFO,1,2029,10.1568
SUDESTE,IMPHFO,1,2030,10.376
SUDESTE,UPSREF001,1,2024,0.71775
SUDESTE,UPSREF001,1,2025,0.71775
SUDESTE,UPSREF001,1,2026,0.71775
SUDESTE,UPSREF001,1,2027,0.71775
SUDESTE,UPSREF001,1,2028,0.71775
SUDESTE,UPSREF001,1,2029,0.71775
SUDESTE,UPSREF001,1,2030,0.71775
SUDESTE,UPSREF002,1,2024,0.71775
SUDESTE,UPSREF002,1,2025,0.71775
SUDESTE,UPSREF002,1,2026,0.71775
SUDESTE,UPSREF002,1,2027,0.71775
SUDESTE,UPSREF002,1,2028,0.71775
SUDESTE,UPSREF002,1,2029,0.71775
SUDESTE,UPSREF002,1,2030,0.71775
SUDESTE,IMPNGS,1,2024,5.361714285
SUDESTE,IMPNGS,1,2025,5.539285715
SUDESTE,IMPNGS,1,2026,5.718428572
SUDESTE,IMPNGS,1,2027,5.899142857
SUDESTE,IMPNGS,1,2028,6.076714285
SUDESTE,IMPNGS,1,2029,6.252714285
SUDESTE,IMPNGS,1,2030,6.433428572
SUDESTE,MINNGS,1,2024,4.874285714
SUDESTE,MINNGS,1,2025,5.035714286
SUDESTE,MINNGS,1,2026,5.198571429
SUDESTE,MINNGS,1,2027,5.362857143
SUDESTE,MINNGS,1,2028,5.524285714
SUDESTE,MINNGS,1,2029,5.684285714
SUDESTE,MINNGS,1,2030,5.848571429
SUDESTE,IMPURN,1,2024,2.5
SUDESTE,IMPURN,1,2025,2.5
SUDESTE,IMPURN,1,2026,2.5
SUDESTE,IMPURN,1,2027,2.5
SUDESTE,IMPURN,1,2028,2.5
SUDESTE,IMPURN,1,2029,2.5
SUDESTE,IMPURN,1,2030,2.5
