REGION,TECHNOLOGY,YEAR,VALUE
NORTE,on_wind,2026,99999.0
NORTE,on_wind,2027,99999.0
NORTE,on_wind,2028,99999.0
NORTE,on_wind,2029,99999.0
NORTE,on_wind,2030,99999.0
NORTE,hydro,2024,99999.0
NORTE,hydro,2025,99999.0
NORTE,hydro,2026,99999.0
NORTE,hydro,2027,99999.0
NORTE,hydro,2028,99999.0
NORTE,hydro,2029,99999.0
NORTE,hydro,2030,99999.0
NORTE,small_hydro,2024,99999.0
NORTE,small_hydro,2025,99999.0
NORTE,small_hydro,2026,99999.0
NORTE,small_hydro,2027,99999.0
NORTE,small_hydro,2028,99999.0
NORTE,small_hydro,2029,99999.0
NORTE,small_hydro,2030,99999.0
NORTE,mini_hydro,2024,99999.0
NORTE,mini_hydro,2025,99999.0
NORTE,mini_hydro,2026,99999.0
NORTE,mini_hydro,2027,99999.0
NORTE,mini_hydro,2028,99999.0
NORTE,mini_hydro,2029,99999.0
NORTE,mini_hydro,2030,99999.0
SUDESTE,export,2024,20.0
SUDESTE,export,2025,20.0
SUDESTE,export,2026,20.0
SUDESTE,export,2027,20.0
SUDESTE,export,2028,20.0
SUDESTE,export,2029,20.0
SUDESTE,export,2030,20.0
SUDESTE,import,2024,126.0
SUDESTE,import,2025,126.0
SUDESTE,import,2026,126.0
SUDESTE,import,2027,126.0
SUDESTE,import,2028,126.0
SUDESTE,import,2029,126.0
SUDESTE,import,2030,126.0
SUDESTE,nuclear,2024,60.0
SUDESTE,nuclear,2025,60.0
SUDESTE,nuclear,2026,60.0
SUDESTE,nuclear,2027,60.0
SUDESTE,nuclear,2028,60.0
SUDESTE,nuclear,2029,60.0
SUDESTE,nuclear,2030,60.0
SUDESTE,oil,2024,99999.0
SUDESTE,oil,2025,99999.0
SUDESTE,oil,2026,99999.0
SUDESTE,oil,2027,99999.0
SUDESTE,oil,2028,99999.0
SUDESTE,oil,2029,99999.0
SUDESTE,oil,2030,99999.0
SUDESTE,biomass,2024,99999.0
SUDESTE,biomass,2025,99999.0
SUDESTE,biomass,2026,99999.0
SUDESTE,biomass,2027,99999.0
SUDESTE,biomass,2028,99999.0
SUDESTE,biomass,2029,99999.0
SUDESTE,biomass,2030,99999.0
SUDESTE,gas,2024,99999.0
SUDESTE,gas,2025,99999.0
SUDESTE,gas,2026,99999.0
SUDESTE,gas,2027,99999.0
SUDESTE,gas,2028,99999.0
SUDESTE,gas,2029,99999.0
SUDESTE,gas,2030,99999.0
SUDESTE,coal,2024,99999.0
SUDESTE,coal,2025,99999.0
SUDESTE,coal,2026,99999.0
SUDESTE,coal,2027,99999.0
SUDESTE,coal,2028,99999.0
SUDESTE,coal,2029,99999.0
SUDESTE,coal,2030,99999.0
SUDESTE,solar_pv,2024,99999.0
SUDESTE,solar_pv,2025,99999.0
SUDESTE,solar_pv,2026,99999.0
SUDESTE,solar_pv,2027,99999.0
SUDESTE,solar_pv,2028,99999.0
SUDESTE,solar_pv,2029,99999.0
SUDESTE,solar_pv,2030,99999.0
SUDESTE,on_wind,2024,99999.0
SUDESTE,on_wind,2025,99999.0
SUDESTE,on_wind,2026,99999.0
SUDESTE,on_wind,2027,99999.0
SUDESTE,on_wind,2028,99999.0
SUDESTE,on_wind,2029,99999.0
SUDESTE,on_wind,2030,99999.0
SUDESTE,hydro,2024,99999.0
SUDESTE,hydro,2025,99999.0
SUDESTE,hydro,2026,99999.0
SUDESTE,hydro,2027,99999.0
SUDESTE,hydro,2028,99999.0
SUDESTE,hydro,2029,99999.0
SUDESTE,hydro,2030,99999.0
SUDESTE,small_hydro,2024,99999.0
SUDESTE,small_hydro,2025,99999.0
SUDESTE,small_hydro,2026,99999.0
SUDESTE,small_hydro,2027,99999.0
SUDESTE,small_hydro,2028,99999.0
SUDESTE,small_hydro,2029,99999.0
SUDESTE,small_hydro,2030,99999.0
SUDESTE,mini_hydro,2024,99999.0
SUDESTE,mini_hydro,2025,99999.0
SUDESTE,mini_hydro,2026,99999.0
SUDESTE,mini_hydro,2027,99999.0
SUDESTE,mini_hydro,2028,99999.0
SUDESTE,mini_hydro,2029,99999.0
SUDESTE,mini_hydro,2030,99999.0
