state,type,phase,value,reference_year
GO,solar_pv,operation,10.4366,2024
MA,solar_pv,operation,2.43253,2024
MG,solar_pv,operation,4277.34368,2024
MS,solar_pv,operation,11.88798,2024
MT,solar_pv,operation,21.30578,2024
PA,solar_pv,operation,16.76672,2024
PB,solar_pv,operation,463.5142,2024
PE,solar_pv,operation,1096.72763,2024
PI,solar_pv,operation,1514.65,2024
PR,solar_pv,operation,16.82131,2024
RJ,solar_pv,operation,5.3193,2024
RN,solar_pv,operation,1100.8116,2024
RO,solar_pv,operation,13.77048,2024
RR,solar_pv,operation,2.46,2024
RS,solar_pv,operation,30.38046,2024
SC,solar_pv,operation,16.06833,2024
SE,solar_pv,operation,0.8,2024
SP,solar_pv,operation,869.40482,2024
TO,solar_pv,operation,6.125,2024
