TIMESLICE,YEAR,VALUE
S112,2047,0.041666667
S112,2048,0.041666667
S112,2049,0.041666667
S112,2050,0.041666667
S113,2015,0.041666667
S113,2016,0.041666667
S113,2017,0.041666667
S113,2018,0.041666667
S113,2019,0.041666667
S113,2020,0.041666667
S113,2021,0.041666667
S113,2022,0.041666667
S113,2023,0.041666667
S113,2024,0.041666667
S113,2025,0.041666667
S113,2026,0.041666667
S113,2027,0.041666667
S113,2028,0.041666667
S113,2029,0.041666667
S113,2030,0.041666667
S113,2031,0.041666667
S113,2032,0.041666667
S113,2033,0.041666667
S113,2034,0.041666667
S113,2035,0.041666667
S113,2036,0.041666667
S113,2037,0.041666667
S113,2038,0.041666667
S113,2039,0.041666667
S113,2040,0.041666667
S113,2041,0.041666667
S113,2042,0.041666667
S113,2043,0.041666667
S113,2044,0.041666667
S113,2045,0.041666667
S113,2046,0.041666667
S113,2047,0.041666667
S113,2048,0.041666667
S113,2049,0.041666667
S113,2050,0.041666667
S114,2015,0.041666667
S114,2016,0.041666667
S114,2017,0.041666667
S114,2018,0.041666667
S114,2019,0.041666667
S114,2020,0.041666667
S114,2021,0.041666667
S114,2022,0.041666667
S114,2023,0.041666667
S114,2024,0.041666667
S114,2025,0.041666667
S114,2026,0.041666667
S114,2027,0.041666667
S114,2028,0.041666667
S114,2029,0.041666667
S114,2030,0.041666667
S114,2031,0.041666667
S114,2032,0.041666667
S114,2033,0.041666667
S114,2034,0.041666667
S114,2035,0.041666667
S114,2036,0.041666667
S114,2037,0.041666667
S114,2038,0.041666667
S114,2039,0.041666667
S114,2040,0.041666667
S114,2041,0.041666667
S114,2042,0.041666667
S114,2043,0.041666667
S114,2044,0.041666667
S114,2045,0.041666667
S114,2046,0.041666667
S114,2047,0.041666667
S114,2048,0.041666667
S114,2049,0.041666667
S114,2050,0.041666667
S115,2015,0.041666667
S115,2016,0.041666667
S115,2017,0.041666667
S115,2018,0.041666667
S115,2019,0.041666667
S115,2020,0.041666667
S115,2021,0.041666667
S115,2022,0.041666667
S115,2023,0.041666667
S115,2024,0.041666667
S115,2025,0.041666667
S115,2026,0.041666667
S115,2027,0.041666667
S115,2028,0.041666667
S115,2029,0.041666667
S115,2030,0.041666667
S115,2031,0.041666667
S115,2032,0.041666667
S115,2033,0.041666667
S115,2034,0.041666667
S115,2035,0.041666667
S115,2036,0.041666667
S115,2037,0.041666667
S115,2038,0.041666667
S115,2039,0.041666667
S115,2040,0.041666667
S115,2041,0.041666667
S115,2042,0.041666667
S115,2043,0.041666667
S115,2044,0.041666667
S115,2045,0.041666667
S115,2046,0.041666667
S115,2047,0.041666667
S115,2048,0.041666667
S115,2049,0.041666667
S115,2050,0.041666667
S116,2015,0.041666667
S116,2016,0.041666667
S116,2017,0.041666667
S116,2018,0.041666667
S116,2019,0.041666667
S116,2020,0.041666667
S116,2021,0.041666667
S116,2022,0.041666667
S116,2023,0.041666667
S116,2024,0.041666667
S116,2025,0.041666667
S116,2026,0.041666667
S116,2027,0.041666667
S116,2028,0.041666667
S116,2029,0.041666667
S116,2030,0.041666667
S116,2031,0.041666667
S116,2032,0.041666667
S116,2033,0.041666667
S116,2034,0.041666667
S116,2035,0.041666667
S116,2036,0.041666667
S116,2037,0.041666667
S116,2038,0.041666667
S116,2039,0.041666667
S116,2040,0.041666667
S116,2041,0.041666667
S116,2042,0.041666667
S116,2043,0.041666667
S116,2044,0.041666667
S116,2045,0.041666667
S116,2046,0.041666667
S116,2047,0.041666667
S116,2048,0.041666667
S116,2049,0.041666667
S116,2050,0.041666667
S117,2015,0.041666667
S117,2016,0.041666667
S117,2017,0.041666667
S117,2018,0.041666667
S117,2019,0.041666667
S117,2020,0.041666667
S117,2021,0.041666667
S117,2022,0.041666667
S117,2023,0.041666667
S117,2024,0.041666667
S117,2025,0.041666667
S117,2026,0.041666667
S117,2027,0.041666667
S117,2028,0.041666667
S117,2029,0.041666667
S117,2030,0.041666667
S117,2031,0.041666667
S117,2032,0.041666667
S117,2033,0.041666667
S117,2034,0.041666667
S117,2035,0.041666667
S117,2036,0.041666667
S117,2037,0.041666667
S117,2038,0.041666667
S117,2039,0.041666667
S117,2040,0.041666667
S117,2041,0.041666667
S117,2042,0.041666667
S117,2043,0.041666667
S117,2044,0.041666667
S117,2045,0.041666667
S117,2046,0.041666667
S117,2047,0.041666667
S117,2048,0.041666667
S117,2049,0.041666667
S117,2050,0.041666667
S118,2015,0.041666667
S118,2016,0.041666667
S118,2017,0.041666667
S118,2018,0.041666667
S118,2019,0.041666667
S118,2020,0.041666667
S118,2021,0.041666667
S118,2022,0.041666667
S118,2023,0.041666667
S118,2024,0.041666667
S118,2025,0.041666667
S118,2026,0.041666667
S118,2027,0.041666667
S118,2028,0.041666667
S118,2029,0.041666667
S118,2030,0.041666667
S118,2031,0.041666667
S118,2032,0.041666667
S118,2033,0.041666667
S118,2034,0.041666667
S118,2035,0.041666667
S118,2036,0.041666667
S118,2037,0.041666667
S118,2038,0.041666667
S118,2039,0.041666667
S118,2040,0.041666667
S118,2041,0.041666667
S118,2042,0.041666667
S118,2043,0.041666667
S118,2044,0.041666667
S118,2045,0.041666667
S118,2046,0.041666667
S118,2047,0.041666667
S118,2048,0.041666667
S118,2049,0.041666667
S118,2050,0.041666667
S119,2015,0.041666667
S119,2016,0.041666667
S119,2017,0.041666667
S119,2018,0.041666667
S119,2019,0.041666667
S119,2020,0.041666667
S119,2021,0.041666667
S119,2022,0.041666667
S119,2023,0.041666667
S119,2024,0.041666667
S119,2025,0.041666667
S119,2026,0.041666667
S119,2027,0.041666667
S119,2028,0.041666667
S119,2029,0.041666667
S119,2030,0.041666667
S119,2031,0.041666667
S119,2032,0.041666667
S119,2033,0.041666667
S119,2034,0.041666667
S119,2035,0.041666667
S119,2036,0.041666667
S119,2037,0.041666667
S119,2038,0.041666667
S119,2039,0.041666667
S119,2040,0.041666667
S119,2041,0.041666667
S119,2042,0.041666667
S119,2043,0.041666667
S119,2044,0.041666667
S119,2045,0.041666667
S119,2046,0.041666667
S119,2047,0.041666667
S119,2048,0.041666667
S119,2049,0.041666667
S119,2050,0.041666667
S120,2015,0.041666667
S120,2016,0.041666667
S120,2017,0.041666667
S120,2018,0.041666667
S120,2019,0.041666667
S120,2020,0.041666667
S120,2021,0.041666667
S120,2022,0.041666667
S120,2023,0.041666667
S120,2024,0.041666667
S120,2025,0.041666667
S120,2026,0.041666667
S120,2027,0.041666667
S120,2028,0.041666667
S120,2029,0.041666667
S120,2030,0.041666667
S120,2031,0.041666667
S120,2032,0.041666667
S120,2033,0.041666667
S120,2034,0.041666667
S120,2035,0.041666667
S120,2036,0.041666667
S120,2037,0.041666667
S120,2038,0.041666667
S120,2039,0.041666667
S120,2040,0.041666667
S120,2041,0.041666667
S120,2042,0.041666667
S120,2043,0.041666667
S120,2044,0.041666667
S120,2045,0.041666667
S120,2046,0.041666667
S120,2047,0.041666667
S120,2048,0.041666667
S120,2049,0.041666667
S120,2050,0.041666667
S121,2015,0.041666667
S121,2016,0.041666667
S121,2017,0.041666667
S121,2018,0.041666667
S121,2019,0.041666667
S121,2020,0.041666667
S121,2021,0.041666667
S121,2022,0.041666667
S121,2023,0.041666667
S121,2024,0.041666667
S121,2025,0.041666667
S121,2026,0.041666667
S121,2027,0.041666667
S121,2028,0.041666667
S121,2029,0.041666667
S121,2030,0.041666667
S121,2031,0.041666667
S121,2032,0.041666667
S121,2033,0.041666667
S121,2034,0.041666667
S121,2035,0.041666667
S121,2036,0.041666667
S121,2037,0.041666667
S121,2038,0.041666667
S121,2039,0.041666667
S121,2040,0.041666667
S121,2041,0.041666667
S121,2042,0.041666667
S121,2043,0.041666667
S121,2044,0.041666667
S121,2045,0.041666667
S121,2046,0.041666667
S121,2047,0.041666667
S121,2048,0.041666667
S121,2049,0.041666667
S121,2050,0.041666667
S122,2015,0.041666667
S122,2016,0.041666667
S122,2017,0.041666667
S122,2018,0.041666667
S122,2019,0.041666667
S122,2020,0.041666667
S122,2021,0.041666667
S122,2022,0.041666667
S122,2023,0.041666667
S122,2024,0.041666667
S122,2025,0.041666667
S122,2026,0.041666667
S122,2027,0.041666667
S122,2028,0.041666667
S122,2029,0.041666667
S122,2030,0.041666667
S122,2031,0.041666667
S122,2032,0.041666667
S122,2033,0.041666667
S122,2034,0.041666667
S122,2035,0.041666667
S122,2036,0.041666667
S122,2037,0.041666667
S122,2038,0.041666667
S122,2039,0.041666667
S122,2040,0.041666667
S122,2041,0.041666667
S122,2042,0.041666667
S122,2043,0.041666667
S122,2044,0.041666667
S122,2045,0.041666667
S122,2046,0.041666667
S122,2047,0.041666667
S122,2048,0.041666667
S122,2049,0.041666667
S122,2050,0.041666667
S123,2015,0.041666667
S123,2016,0.041666667
S123,2017,0.041666667
S123,2018,0.041666667
S123,2019,0.041666667
S123,2020,0.041666667
S123,2021,0.041666667
S123,2022,0.041666667
S123,2023,0.041666667
S123,2024,0.041666667
S123,2025,0.041666667
S123,2026,0.041666667
S123,2027,0.041666667
S123,2028,0.041666667
S123,2029,0.041666667
S123,2030,0.041666667
S123,2031,0.041666667
S123,2032,0.041666667
S123,2033,0.041666667
S123,2034,0.041666667
S123,2035,0.041666667
S123,2036,0.041666667
S123,2037,0.041666667
S123,2038,0.041666667
S123,2039,0.041666667
S123,2040,0.041666667
S123,2041,0.041666667
S123,2042,0.041666667
S123,2043,0.041666667
S123,2044,0.041666667
S123,2045,0.041666667
S123,2046,0.041666667
S123,2047,0.041666667
S123,2048,0.041666667
S123,2049,0.041666667
S123,2050,0.041666667
S124,2015,0.041666667
S124,2016,0.041666667
S124,2017,0.041666667
S124,2018,0.041666667
S124,2019,0.041666667
S124,2020,0.041666667
S124,2021,0.041666667
S124,2022,0.041666667
S124,2023,0.041666667
S124,2024,0.041666667
S124,2025,0.041666667
S124,2026,0.041666667
S124,2027,0.041666667
S124,2028,0.041666667
S124,2029,0.041666667
S124,2030,0.041666667
S124,2031,0.041666667
S124,2032,0.041666667
S124,2033,0.041666667
S124,2034,0.041666667
S124,2035,0.041666667
S124,2036,0.041666667
S124,2037,0.041666667
S124,2038,0.041666667
S124,2039,0.041666667
S124,2040,0.041666667
S124,2041,0.041666667
S124,2042,0.041666667
S124,2043,0.041666667
S124,2044,0.041666667
S124,2045,0.041666667
S124,2046,0.041666667
S124,2047,0.041666667
S124,2048,0.041666667
S124,2049,0.041666667
S124,2050,0.041666667
