REGION,TECHNOLOGY,YEAR,VALUE
SIN,solar_pv,2034,753.4
SIN,solar_pv,2035,747.75
SIN,solar_pv,2036,742.1
SIN,solar_pv,2037,736.45
SIN,solar_pv,2038,730.8
SIN,solar_pv,2039,725.15
SIN,solar_pv,2040,719.5
SIN,solar_pv,2041,713.85
SIN,solar_pv,2042,708.2
SIN,solar_pv,2043,702.55
SIN,solar_pv,2044,696.9
SIN,solar_pv,2045,691.25
SIN,solar_pv,2046,685.6
SIN,solar_pv,2047,679.95
SIN,solar_pv,2048,674.3
SIN,solar_pv,2049,668.65
SIN,solar_pv,2050,663
SIN,hydro,2015,2939
SIN,hydro,2016,2939
SIN,hydro,2017,2939
SIN,hydro,2018,2939
SIN,hydro,2019,2939
SIN,hydro,2020,2939
SIN,hydro,2021,2939
SIN,hydro,2022,2939
SIN,hydro,2023,2939
SIN,hydro,2024,2939
SIN,hydro,2025,2939
SIN,hydro,2026,2939
SIN,hydro,2027,2939
SIN,hydro,2028,2939
SIN,hydro,2029,2939
SIN,hydro,2030,2939
SIN,hydro,2031,2939
SIN,hydro,2032,2939
SIN,hydro,2033,2939
SIN,hydro,2034,2939
SIN,hydro,2035,2939
SIN,hydro,2036,2939
SIN,hydro,2037,2939
SIN,hydro,2038,2939
SIN,hydro,2039,2939
SIN,hydro,2040,2939
SIN,hydro,2041,2939
SIN,hydro,2042,2939
SIN,hydro,2043,2939
SIN,hydro,2044,2939
SIN,hydro,2045,2939
SIN,hydro,2046,2939
SIN,hydro,2047,2939
SIN,hydro,2048,2939
SIN,hydro,2049,2939
SIN,hydro,2050,2939
SIN,mini_hydro,2015,3499
SIN,mini_hydro,2016,3499
SIN,mini_hydro,2017,3499
SIN,mini_hydro,2018,3499
SIN,mini_hydro,2019,3499
SIN,mini_hydro,2020,3499
SIN,mini_hydro,2021,3499
SIN,mini_hydro,2022,3499
SIN,mini_hydro,2023,3499
SIN,mini_hydro,2024,3499
SIN,mini_hydro,2025,3499
SIN,mini_hydro,2026,3499
SIN,mini_hydro,2027,3499
SIN,mini_hydro,2028,3499
SIN,mini_hydro,2029,3499
SIN,mini_hydro,2030,3499
SIN,mini_hydro,2031,3499
SIN,mini_hydro,2032,3499
SIN,mini_hydro,2033,3499
SIN,mini_hydro,2034,3499
SIN,mini_hydro,2035,3499
SIN,mini_hydro,2036,3499
SIN,mini_hydro,2037,3499
SIN,mini_hydro,2038,3499
SIN,mini_hydro,2039,3499
SIN,mini_hydro,2040,3499
SIN,mini_hydro,2041,3499
SIN,mini_hydro,2042,3499
SIN,mini_hydro,2043,3499
SIN,mini_hydro,2044,3499
SIN,mini_hydro,2045,3499
SIN,mini_hydro,2046,3499
SIN,mini_hydro,2047,3499
SIN,mini_hydro,2048,3499
SIN,mini_hydro,2049,3499
SIN,mini_hydro,2050,3499
SIN,on_wind,2015,1620
SIN,on_wind,2016,1571.133333
SIN,on_wind,2017,1520
SIN,on_wind,2018,1473.4
SIN,on_wind,2019,1424.533333
