hours,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
5429,0.2512,0.1833,0.1273,0.0258,0.4322,0.4138,0,0.5653,0.2049,0.1242,0.4255,0.3031,0.1897,0.1192,0.5712,0.5883,0.6261,0.6302,0.1513,0.5974,0.2573,0.006,0.45,0.4257,0.1561,0.6464,0.0846
5430,0.2202,0.1732,0.1299,0.0241,0.4369,0.4031,0,0.5738,0.2194,0.1442,0.4295,0.3618,0.1864,0.1111,0.5534,0.5491,0.6496,0.5968,0.1541,0.5505,0.2281,0.0051,0.4292,0.4251,0.1649,0.6081,0.1105
5431,0.2038,0.1881,0.1394,0.025,0.4472,0.4144,0,0.5382,0.2344,0.1737,0.4354,0.4095,0.1874,0.1023,0.5457,0.5212,0.6682,0.5742,0.1369,0.5456,0.2163,0.0053,0.4001,0.426,0.1694,0.569,0.1672
5432,0.1981,0.1908,0.1465,0.0283,0.4477,0.4112,0,0.5338,0.2531,0.1888,0.4398,0.4391,0.1822,0.0933,0.5311,0.5095,0.6494,0.5491,0.1195,0.5354,0.1944,0.0047,0.3804,0.4229,0.1703,0.5394,0.2334
5433,0.1886,0.1791,0.1532,0.0228,0.4494,0.4066,0,0.5524,0.2839,0.2076,0.44,0.4438,0.1808,0.0834,0.5163,0.5078,0.6515,0.5197,0.1033,0.5275,0.1764,0.0069,0.3661,0.4094,0.156,0.5231,0.3177
5434,0.1764,0.1747,0.1553,0.0212,0.4409,0.4202,0,0.5323,0.3193,0.2126,0.4281,0.4389,0.177,0.0758,0.529,0.5374,0.6393,0.4877,0.0839,0.51,0.1719,0.007,0.3487,0.3888,0.1476,0.4803,0.397
5435,0.1705,0.203,0.1504,0.0306,0.4178,0.5115,0,0.447,0.3077,0.1582,0.3672,0.3846,0.1552,0.0595,0.755,0.6787,0.6073,0.4278,0.0589,0.7492,0.1664,0.0123,0.3122,0.3497,0.2493,0.408,0.3919
5436,0.1832,0.3171,0.1484,0.0494,0.6996,0.7672,0,0.6744,0.3719,0.3423,0.5077,0.3817,0.1781,0.1269,0.8789,0.7933,0.8581,0.4358,0.0935,0.9178,0.1665,0.0177,0.3573,0.3726,0.4429,0.4408,0.5001
5437,0.1678,0.4412,0.1263,0.1749,0.8002,0.8974,0,0.7472,0.5799,0.4931,0.6439,0.4851,0.1821,0.2042,0.906,0.841,0.9093,0.5524,0.1615,0.9391,0.1279,0.0247,0.3773,0.4278,0.6691,0.5654,0.701
5438,0.2049,0.5381,0.1507,0.2182,0.8298,0.9452,0,0.779,0.6802,0.5717,0.6552,0.5321,0.2598,0.2301,0.9011,0.8649,0.93,0.5608,0.1596,0.9351,0.1564,0.0449,0.4103,0.4796,0.6977,0.5522,0.7643
5439,0.2804,0.6416,0.1715,0.1754,0.8401,0.945,0,0.759,0.6781,0.6452,0.6202,0.4981,0.3156,0.2256,0.8958,0.8857,0.9338,0.5192,0.1537,0.9248,0.143,0.0405,0.3707,0.485,0.7243,0.4985,0.7868
5440,0.2385,0.6811,0.1447,0.1831,0.8348,0.9333,0,0.72,0.6483,0.691,0.5471,0.4647,0.351,0.2443,0.8847,0.9013,0.9216,0.433,0.1473,0.9136,0.1024,0.0244,0.298,0.4299,0.6984,0.4237,0.7961
5441,0.1804,0.7013,0.1069,0.1797,0.8286,0.9182,0,0.6951,0.5393,0.6963,0.4997,0.4155,0.345,0.2733,0.8798,0.9086,0.9058,0.3507,0.155,0.9147,0.0844,0.0244,0.2234,0.3751,0.7027,0.3616,0.7788
5442,0.1317,0.6896,0.0769,0.1955,0.8105,0.9078,0,0.6631,0.4467,0.6581,0.4511,0.3693,0.3146,0.2804,0.8976,0.8979,0.8924,0.2745,0.1598,0.9196,0.0649,0.0207,0.1739,0.3167,0.7041,0.2997,0.7026
5443,0.0945,0.6487,0.0576,0.2005,0.802,0.9075,0,0.649,0.4057,0.612,0.4277,0.3133,0.2674,0.26,0.9181,0.8887,0.8834,0.2055,0.1798,0.9318,0.0527,0.0156,0.1394,0.2911,0.6743,0.2487,0.6249
5444,0.0646,0.6106,0.0456,0.2064,0.7689,0.8967,0,0.6163,0.3938,0.5496,0.4062,0.2737,0.219,0.2297,0.914,0.8736,0.8738,0.1715,0.2133,0.9267,0.0372,0.0167,0.1139,0.2615,0.6256,0.2252,0.5612
5445,0.0496,0.4301,0.034,0.1833,0.6868,0.8131,0,0.5695,0.3359,0.3857,0.3663,0.2181,0.1453,0.156,0.8772,0.8209,0.8426,0.1061,0.2301,0.885,0.029,0.0157,0.0505,0.1831,0.3891,0.1662,0.4383
5446,0.0396,0.3611,0.0186,0.1554,0.5617,0.5164,0,0.4812,0.1545,0.1683,0.2682,0.0771,0.0459,0.0699,0.8464,0.7632,0.6512,0.0632,0.1872,0.8392,0.0204,0.0101,0.0803,0.168,0.3007,0.0811,0.1649
5447,0.0359,0.2693,0.0153,0.1385,0.5021,0.4466,0,0.326,0.0982,0.1263,0.2262,0.0892,0.0613,0.0775,0.745,0.694,0.6183,0.0943,0.1264,0.7652,0.0326,0.0008,0.088,0.1884,0.195,0.1017,0.1227
5448,0.0533,0.2381,0.0271,0.1364,0.5283,0.4959,0,0.2842,0.1215,0.1262,0.2523,0.1243,0.0685,0.0795,0.739,0.6801,0.6495,0.1306,0.102,0.8254,0.0552,0.001,0.0986,0.1926,0.1718,0.1436,0.1337
5449,0.0731,0.205,0.0344,0.1205,0.5642,0.5438,0,0.2542,0.1553,0.1485,0.2774,0.1592,0.0731,0.0769,0.7288,0.6629,0.6905,0.1647,0.0855,0.8478,0.0722,0.0008,0.1087,0.1802,0.1691,0.1761,0.1555
5450,0.0684,0.1893,0.0387,0.0992,0.5827,0.5822,0,0.2421,0.1983,0.1904,0.287,0.1937,0.0724,0.0697,0.7303,0.6649,0.7303,0.1893,0.0775,0.8487,0.0738,0.0012,0.1219,0.1663,0.1856,0.1983,0.174
5451,0.0664,0.1831,0.0429,0.0759,0.5928,0.5934,0,0.2197,0.2548,0.2355,0.2902,0.213,0.0694,0.0637,0.7342,0.6688,0.7595,0.1909,0.076,0.8375,0.0793,0.001,0.1262,0.155,0.2061,0.2099,0.1969
5452,0.0575,0.1937,0.043,0.0674,0.5769,0.5964,0,0.1943,0.3055,0.2757,0.281,0.2299,0.068,0.0607,0.7262,0.6722,0.7567,0.1956,0.0651,0.8106,0.0785,0.002,0.1448,0.1515,0.2158,0.2104,0.2333
5453,0.0468,0.2069,0.0407,0.0617,0.5638,0.6001,0,0.1825,0.3376,0.3241,0.2612,0.2313,0.0687,0.058,0.723,0.6683,0.7535,0.1941,0.0627,0.7726,0.0814,0.0036,0.1546,0.1427,0.2272,0.1986,0.2917
5454,0.0405,0.2129,0.0398,0.0523,0.543,0.5765,0,0.1723,0.3554,0.3512,0.2402,0.2256,0.0673,0.0588,0.6882,0.6441,0.7399,0.1836,0.0623,0.7285,0.0745,0.0037,0.1568,0.138,0.2271,0.181,0.3562
5455,0.0329,0.2511,0.0377,0.0489,0.5361,0.5783,0,0.1488,0.3623,0.3688,0.2246,0.2243,0.0727,0.056,0.685,0.6697,0.743,0.1804,0.0639,0.6814,0.0685,0.0041,0.1615,0.1355,0.2297,0.1721,0.4432
5456,0.0315,0.2662,0.0352,0.057,0.5154,0.5757,0,0.1243,0.3624,0.3721,0.208,0.2277,0.0772,0.0568,0.6522,0.6513,0.7279,0.1751,0.0603,0.6377,0.0654,0.0038,0.1746,0.1279,0.2227,0.1612,0.5218
5457,0.0285,0.2586,0.033,0.0731,0.5068,0.5648,0,0.0989,0.3678,0.3735,0.1935,0.2361,0.0828,0.0597,0.6342,0.6537,0.7109,0.1728,0.0629,0.6222,0.059,0.0041,0.1881,0.1221,0.206,0.1557,0.5843
5458,0.0288,0.2539,0.0302,0.0661,0.4847,0.5679,0,0.0802,0.3636,0.3934,0.1781,0.2455,0.0905,0.0658,0.6732,0.6597,0.6997,0.1745,0.0679,0.639,0.0567,0.0035,0.1889,0.1245,0.1935,0.1498,0.6204
5459,0.0623,0.2884,0.0247,0.0333,0.4583,0.7338,0,0.0779,0.2695,0.3968,0.1544,0.2356,0.0969,0.0771,0.7927,0.7833,0.6698,0.1794,0.0533,0.8319,0.0365,0.0024,0.2187,0.1175,0.2027,0.149,0.5753
