REGION,TECHNOLOGY,YEAR,VALUE
SIN,solar_pv,2023,99999
SIN,solar_pv,2024,99999
SIN,solar_pv,2025,99999
SIN,solar_pv,2026,99999
SIN,solar_pv,2027,99999
SIN,solar_pv,2028,99999
SIN,solar_pv,2029,99999
SIN,solar_pv,2030,99999
SIN,solar_pv,2031,99999
SIN,solar_pv,2032,99999
SIN,solar_pv,2033,99999
SIN,solar_pv,2034,99999
SIN,solar_pv,2035,99999
SIN,solar_pv,2036,99999
SIN,solar_pv,2037,99999
SIN,solar_pv,2038,99999
SIN,solar_pv,2039,99999
SIN,solar_pv,2040,99999
SIN,solar_pv,2041,99999
SIN,solar_pv,2042,99999
SIN,solar_pv,2043,99999
SIN,solar_pv,2044,99999
SIN,solar_pv,2045,99999
SIN,solar_pv,2046,99999
SIN,solar_pv,2047,99999
SIN,solar_pv,2048,99999
SIN,solar_pv,2049,99999
SIN,solar_pv,2050,99999
SIN,on_wind,2015,78
SIN,on_wind,2016,121
SIN,on_wind,2017,153
SIN,on_wind,2018,175
SIN,on_wind,2019,202
SIN,on_wind,2020,206
SIN,on_wind,2021,261
SIN,on_wind,2022,294
SIN,on_wind,2023,99999
SIN,on_wind,2024,99999
SIN,on_wind,2025,99999
SIN,on_wind,2026,99999
SIN,on_wind,2027,99999
SIN,on_wind,2028,99999
SIN,on_wind,2029,99999
SIN,on_wind,2030,99999
SIN,on_wind,2031,99999
SIN,on_wind,2032,99999
SIN,on_wind,2033,99999
SIN,on_wind,2034,99999
SIN,on_wind,2035,99999
SIN,on_wind,2036,99999
SIN,on_wind,2037,99999
SIN,on_wind,2038,99999
SIN,on_wind,2039,99999
SIN,on_wind,2040,99999
SIN,on_wind,2041,99999
SIN,on_wind,2042,99999
SIN,on_wind,2043,99999
SIN,on_wind,2044,99999
SIN,on_wind,2045,99999
SIN,on_wind,2046,99999
SIN,on_wind,2047,99999
SIN,on_wind,2048,99999
SIN,on_wind,2049,99999
SIN,on_wind,2050,99999
SIN,hydro,2015,1198
SIN,hydro,2016,1268
SIN,hydro,2017,1235
SIN,hydro,2018,1295
SIN,hydro,2019,1324
SIN,hydro,2020,1319
SIN,hydro,2021,1208
SIN,hydro,2022,1411
SIN,hydro,2023,99999
SIN,hydro,2024,99999
SIN,hydro,2025,99999
SIN,hydro,2026,99999
SIN,hydro,2027,99999
SIN,hydro,2028,99999
SIN,hydro,2029,99999
SIN,hydro,2030,99999
SIN,hydro,2031,99999
SIN,hydro,2032,99999
SIN,hydro,2033,99999
SIN,hydro,2034,99999
SIN,hydro,2035,99999
SIN,hydro,2036,99999
SIN,hydro,2037,99999
SIN,hydro,2038,99999
SIN,hydro,2039,99999
SIN,hydro,2040,99999
SIN,hydro,2041,99999
SIN,hydro,2042,99999
SIN,hydro,2043,99999
SIN,hydro,2044,99999
SIN,hydro,2045,99999
SIN,hydro,2046,99999
SIN,hydro,2047,99999
SIN,hydro,2048,99999
SIN,hydro,2049,99999
SIN,hydro,2050,99999
SIN,small_hydro,2015,94
SIN,small_hydro,2016,99
SIN,small_hydro,2017,97
SIN,small_hydro,2018,101
SIN,small_hydro,2019,104
SIN,small_hydro,2020,103
SIN,small_hydro,2021,95
SIN,small_hydro,2022,110
SIN,small_hydro,2023,99999
SIN,small_hydro,2024,99999
SIN,small_hydro,2025,99999
SIN,small_hydro,2026,99999
SIN,small_hydro,2027,99999
SIN,small_hydro,2028,99999
SIN,small_hydro,2029,99999
SIN,small_hydro,2030,99999
SIN,small_hydro,2031,99999
SIN,small_hydro,2032,99999
SIN,small_hydro,2033,99999
SIN,small_hydro,2034,99999
SIN,small_hydro,2035,99999
SIN,small_hydro,2036,99999
SIN,small_hydro,2037,99999
SIN,small_hydro,2038,99999
SIN,small_hydro,2039,99999
SIN,small_hydro,2040,99999
SIN,small_hydro,2041,99999
SIN,small_hydro,2042,99999
SIN,small_hydro,2043,99999
SIN,small_hydro,2044,99999
SIN,small_hydro,2045,99999
SIN,small_hydro,2046,99999
SIN,small_hydro,2047,99999
SIN,small_hydro,2048,99999
SIN,small_hydro,2049,99999
SIN,small_hydro,2050,99999
SIN,mini_hydro,2015,6
SIN,mini_hydro,2016,6
SIN,mini_hydro,2017,6
SIN,mini_hydro,2018,6
SIN,mini_hydro,2019,6
SIN,mini_hydro,2020,6
SIN,mini_hydro,2021,6
SIN,mini_hydro,2022,7
SIN,mini_hydro,2023,99999
SIN,mini_hydro,2024,99999
SIN,mini_hydro,2025,99999
SIN,mini_hydro,2026,99999
SIN,mini_hydro,2027,99999
SIN,mini_hydro,2028,99999
SIN,mini_hydro,2029,99999
SIN,mini_hydro,2030,99999
SIN,mini_hydro,2031,99999
SIN,mini_hydro,2032,99999
SIN,mini_hydro,2033,99999
SIN,mini_hydro,2034,99999
SIN,mini_hydro,2035,99999
SIN,mini_hydro,2036,99999
SIN,mini_hydro,2037,99999
SIN,mini_hydro,2038,99999
SIN,mini_hydro,2039,99999
SIN,mini_hydro,2040,99999
SIN,mini_hydro,2041,99999
SIN,mini_hydro,2042,100000
SIN,mini_hydro,2043,99999
SIN,mini_hydro,2044,99999
SIN,mini_hydro,2045,99999
SIN,mini_hydro,2046,99999
SIN,mini_hydro,2047,99999
SIN,mini_hydro,2048,99999
SIN,mini_hydro,2049,99999
SIN,mini_hydro,2050,99999
