hours,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
7802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7809,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7810,0,0.0582,0,0,0.0325,0.0278,0.0033,0.0216,0.0042,0.0037,0.0218,0.0013,0.0001,0.0001,0.0549,0.0493,0.0171,0.0081,0.0304,0.0606,0,0,0.0091,0.0125,0.0528,0.0141,0.0021
7811,0,0.2138,0.0008,0.0267,0.1776,0.1776,0.045,0.0911,0.0818,0.0679,0.1346,0.0816,0.0459,0.0344,0.2261,0.2219,0.1409,0.1196,0.1208,0.2397,0.0053,0.0002,0.1102,0.1131,0.199,0.1413,0.0503
7812,0.0483,0.3395,0.0354,0.1521,0.3452,0.3232,0.1317,0.2031,0.2419,0.1655,0.2881,0.2541,0.2034,0.1344,0.4045,0.4042,0.3056,0.2932,0.266,0.4171,0.0884,0.0214,0.2481,0.2922,0.3202,0.3197,0.1514
7813,0.2074,0.4393,0.1273,0.325,0.4904,0.4803,0.2601,0.3068,0.4016,0.2512,0.4209,0.4228,0.3714,0.2595,0.5674,0.5513,0.4604,0.4539,0.3825,0.5758,0.2604,0.0702,0.3592,0.4708,0.4322,0.4778,0.2825
7814,0.3743,0.5597,0.2349,0.4334,0.6002,0.5807,0.3573,0.508,0.5237,0.3855,0.5556,0.553,0.5044,0.3812,0.6713,0.6655,0.5712,0.5554,0.51,0.6803,0.41,0.1206,0.4291,0.5989,0.5477,0.5923,0.4101
7815,0.4771,0.6657,0.3167,0.5323,0.6735,0.6841,0.477,0.5602,0.6125,0.4943,0.6342,0.6341,0.5858,0.4978,0.7447,0.7325,0.6277,0.6094,0.5647,0.7321,0.5247,0.2196,0.4623,0.6676,0.5902,0.6531,0.521
7816,0.506,0.6632,0.3888,0.6244,0.67,0.6626,0.4635,0.5578,0.6309,0.5233,0.6445,0.6907,0.6298,0.5147,0.7419,0.7187,0.6199,0.6671,0.6371,0.7353,0.6204,0.2841,0.4612,0.6995,0.5878,0.6995,0.529
7817,0.4031,0.641,0.3386,0.6279,0.6225,0.6451,0.3095,0.5088,0.6308,0.5204,0.644,0.6496,0.6413,0.5188,0.7091,0.6815,0.5961,0.6324,0.6588,0.6973,0.5904,0.3592,0.4649,0.6903,0.5586,0.6405,0.5682
7818,0.4792,0.6027,0.3129,0.5192,0.539,0.5964,0.4037,0.4548,0.567,0.4723,0.5462,0.6018,0.5586,0.4723,0.63,0.5986,0.4974,0.6054,0.5365,0.6168,0.4752,0.3485,0.4352,0.6408,0.5104,0.5307,0.5116
7819,0.4122,0.501,0.2847,0.3893,0.4464,0.4797,0.3906,0.3995,0.4735,0.4088,0.4753,0.5622,0.5341,0.419,0.4992,0.4931,0.4147,0.5657,0.4014,0.4847,0.527,0.3669,0.3559,0.5501,0.4496,0.498,0.4867
7820,0.3276,0.3425,0.2505,0.3161,0.3219,0.3201,0.2819,0.2536,0.3737,0.3312,0.3422,0.4448,0.3987,0.2977,0.3205,0.3225,0.3231,0.4548,0.2565,0.3126,0.3925,0.3,0.3082,0.445,0.3257,0.3946,0.3725
7821,0.2748,0.1442,0.2302,0.1588,0.1797,0.1508,0.1893,0.1514,0.2479,0.1774,0.2138,0.3133,0.2803,0.1771,0.1317,0.1409,0.1745,0.333,0.1617,0.1185,0.2808,0.2232,0.2404,0.2977,0.1541,0.2822,0.2297
7822,0.2233,0,0.1368,0.055,0.0109,0,0.1546,0.0095,0.1093,0.0214,0.063,0.1661,0.1333,0.0668,0,0,0.0047,0.1972,0.0474,0,0.1552,0.1106,0.1663,0.1611,0,0.1367,0.0811
7823,0.1154,0,0.0311,0,0,0,0,0,0,0,0,0.0104,0.0062,0,0,0,0,0.0009,0,0,0.0604,0,0.0477,0.0021,0,0,0
7824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7833,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7834,0,0.0706,0,0,0.0341,0.0288,0.0077,0.0424,0.0048,0.0045,0.0256,0.0013,0.0001,0.0002,0.0548,0.0525,0.0161,0.0079,0.0508,0.0567,0,0,0.0072,0.0101,0.0578,0.0137,0.0035
7835,0,0.2538,0.0012,0.0243,0.188,0.1711,0.1098,0.1767,0.0939,0.0888,0.1544,0.0773,0.0407,0.0322,0.2285,0.2317,0.1474,0.1145,0.1922,0.2258,0.0054,0.0004,0.0885,0.0878,0.2246,0.1462,0.09
