REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
SIN,IMPCOA,EMIC02,1,2038,94.6
SIN,IMPCOA,EMIC02,1,2039,94.6
SIN,IMPCOA,EMIC02,1,2040,94.6
SIN,IMPCOA,EMIC02,1,2041,94.6
SIN,IMPCOA,EMIC02,1,2042,94.6
SIN,IMPCOA,EMIC02,1,2043,94.6
SIN,IMPCOA,EMIC02,1,2044,94.6
SIN,IMPCOA,EMIC02,1,2045,94.6
SIN,IMPCOA,EMIC02,1,2046,94.6
SIN,IMPCOA,EMIC02,1,2047,94.6
SIN,IMPCOA,EMIC02,1,2048,94.6
SIN,IMPCOA,EMIC02,1,2049,94.6
SIN,IMPCOA,EMIC02,1,2050,94.6
SIN,MINCOA,EMIC02,1,2015,94.6
SIN,MINCOA,EMIC02,1,2016,94.6
SIN,MINCOA,EMIC02,1,2017,94.6
SIN,MINCOA,EMIC02,1,2018,94.6
SIN,MINCOA,EMIC02,1,2019,94.6
SIN,MINCOA,EMIC02,1,2020,94.6
SIN,MINCOA,EMIC02,1,2021,94.6
SIN,MINCOA,EMIC02,1,2022,94.6
SIN,MINCOA,EMIC02,1,2023,94.6
SIN,MINCOA,EMIC02,1,2024,94.6
SIN,MINCOA,EMIC02,1,2025,94.6
SIN,MINCOA,EMIC02,1,2026,94.6
SIN,MINCOA,EMIC02,1,2027,94.6
SIN,MINCOA,EMIC02,1,2028,94.6
SIN,MINCOA,EMIC02,1,2029,94.6
SIN,MINCOA,EMIC02,1,2030,94.6
SIN,MINCOA,EMIC02,1,2031,94.6
SIN,MINCOA,EMIC02,1,2032,94.6
SIN,MINCOA,EMIC02,1,2033,94.6
SIN,MINCOA,EMIC02,1,2034,94.6
SIN,MINCOA,EMIC02,1,2035,94.6
SIN,MINCOA,EMIC02,1,2036,94.6
SIN,MINCOA,EMIC02,1,2037,94.6
SIN,MINCOA,EMIC02,1,2038,94.6
SIN,MINCOA,EMIC02,1,2039,94.6
SIN,MINCOA,EMIC02,1,2040,94.6
SIN,MINCOA,EMIC02,1,2041,94.6
SIN,MINCOA,EMIC02,1,2042,94.6
SIN,MINCOA,EMIC02,1,2043,94.6
SIN,MINCOA,EMIC02,1,2044,94.6
SIN,MINCOA,EMIC02,1,2045,94.6
SIN,MINCOA,EMIC02,1,2046,94.6
SIN,MINCOA,EMIC02,1,2047,94.6
SIN,MINCOA,EMIC02,1,2048,94.6
SIN,MINCOA,EMIC02,1,2049,94.6
SIN,MINCOA,EMIC02,1,2050,94.6
SIN,IMPLFO,EMIC02,1,2015,69.3
SIN,IMPLFO,EMIC02,1,2016,69.3
SIN,IMPLFO,EMIC02,1,2017,69.3
SIN,IMPLFO,EMIC02,1,2018,69.3
SIN,IMPLFO,EMIC02,1,2019,69.3
SIN,IMPLFO,EMIC02,1,2020,69.3
SIN,IMPLFO,EMIC02,1,2021,69.3
SIN,IMPLFO,EMIC02,1,2022,69.3
SIN,IMPLFO,EMIC02,1,2023,69.3
SIN,IMPLFO,EMIC02,1,2024,69.3
SIN,IMPLFO,EMIC02,1,2025,69.3
SIN,IMPLFO,EMIC02,1,2026,69.3
SIN,IMPLFO,EMIC02,1,2027,69.3
SIN,IMPLFO,EMIC02,1,2028,69.3
SIN,IMPLFO,EMIC02,1,2029,69.3
SIN,IMPLFO,EMIC02,1,2030,69.3
SIN,IMPLFO,EMIC02,1,2031,69.3
SIN,IMPLFO,EMIC02,1,2032,69.3
SIN,IMPLFO,EMIC02,1,2033,69.3
SIN,IMPLFO,EMIC02,1,2034,69.3
SIN,IMPLFO,EMIC02,1,2035,69.3
SIN,IMPLFO,EMIC02,1,2036,69.3
SIN,IMPLFO,EMIC02,1,2037,69.3
SIN,IMPLFO,EMIC02,1,2038,69.3
SIN,IMPLFO,EMIC02,1,2039,69.3
SIN,IMPLFO,EMIC02,1,2040,69.3
SIN,IMPLFO,EMIC02,1,2041,69.3
SIN,IMPLFO,EMIC02,1,2042,69.3
SIN,IMPLFO,EMIC02,1,2043,69.3
