state,type,phase,value,reference_year
AP,solar_pv,operation,4.0652,2021
BA,solar_pv,operation,2052.11135,2021
CE,solar_pv,operation,1251.606,2021
DF,solar_pv,operation,0.0,2021
ES,solar_pv,operation,14.88178,2021
GO,solar_pv,operation,10.4366,2021
MA,solar_pv,operation,2.43253,2021
MG,solar_pv,operation,4277.34368,2021
MS,solar_pv,operation,11.88798,2021
MT,solar_pv,operation,21.305780000000002,2021
PA,solar_pv,operation,16.76672,2021
PB,solar_pv,operation,463.5142,2021
PE,solar_pv,operation,1069.72763,2021
PI,solar_pv,operation,1514.65,2021
PR,solar_pv,operation,16.82131,2021
RJ,solar_pv,operation,5.3193,2021
RN,solar_pv,operation,1100.8116,2021
RO,solar_pv,operation,13.77048,2021
RR,solar_pv,operation,2.46,2021
RS,solar_pv,operation,30.38046,2021
SC,solar_pv,operation,16.06833,2021
SE,solar_pv,operation,0.8,2021
SP,solar_pv,operation,869.40482,2021
TO,solar_pv,operation,6.125,2021
AC,solar_pv,planning,0.0,2021
AL,solar_pv,planning,0.0,2021
AM,solar_pv,planning,0.0,2021
AP,solar_pv,planning,0.0,2021
BA,solar_pv,planning,350.0,2021
CE,solar_pv,planning,567.014,2021
DF,solar_pv,planning,0.0,2021
ES,solar_pv,planning,0.0,2021
GO,solar_pv,planning,0.0,2021
MA,solar_pv,planning,0.0,2021
MG,solar_pv,planning,3013.051,2021
MS,solar_pv,planning,0.0,2021
MT,solar_pv,planning,0.0,2021
PA,solar_pv,planning,0.0,2021
PB,solar_pv,planning,450.0,2021
PE,solar_pv,planning,173.915,2021
PI,solar_pv,planning,1540.4379999999999,2021
PR,solar_pv,planning,0.0,2021
RJ,solar_pv,planning,0.0,2021
RN,solar_pv,planning,647.63339,2021
RO,solar_pv,planning,0.0,2021
RR,solar_pv,planning,0.0,2021
RS,solar_pv,planning,0.0,2021
SC,solar_pv,planning,0.0,2021
SE,solar_pv,planning,0.0,2021
SP,solar_pv,planning,287.71542,2021
TO,solar_pv,planning,0.0,2021
